,ID,overall,pac,sho,pas,dri,def,phy
10,155862,90,76,63,71,71,88,83
17,138956,89,74,46,56,59,90,85
24,184344,88,68,54,70,70,87,81
25,183907,88,75,50,72,67,88,84
26,182493,88,67,48,65,63,88,79
27,178603,88,64,58,75,71,89,76
30,164240,88,72,56,73,73,89,79
44,152729,87,65,61,69,65,86,76
49,197445,86,86,73,81,80,82,74
56,184087,86,66,58,72,65,87,80
57,179944,86,70,64,74,71,84,81
60,177610,86,50,60,69,65,86,80
62,172879,86,78,52,55,60,87,84
63,168609,86,71,49,60,67,88,77
67,120533,86,68,51,57,61,86,80
70,201535,85,83,45,61,64,84,79
81,190547,85,56,32,44,53,86,84
84,184432,85,79,55,75,74,86,78
88,172871,85,67,65,73,70,85,81
92,139720,85,63,54,65,64,84,83
93,137186,85,71,34,57,64,88,73
94,225508,84,78,42,59,65,84,84
97,212218,84,69,50,66,61,86,78
103,201024,84,73,26,43,56,85,86
105,192774,84,80,19,42,60,86,83
106,192227,84,67,57,63,62,83,79
120,177509,84,74,42,54,64,85,82
122,165229,84,75,41,62,65,85,78
123,164468,84,63,58,52,61,84,78
130,216460,83,70,45,51,52,84,81
134,212190,83,65,41,51,49,83,81
141,207865,83,71,38,68,69,84,76
143,205600,83,74,64,71,71,82,79
145,203376,83,73,60,67,69,83,85
147,200888,83,68,62,69,74,82,87
150,198176,83,68,41,58,65,85,76
152,197061,83,67,46,68,66,84,78
156,192366,83,63,56,59,54,83,81
165,186547,83,70,51,67,58,84,78
166,185239,83,76,39,62,67,85,75
173,179784,83,64,47,63,64,83,77
180,173771,83,79,69,76,74,81,80
181,170481,83,43,64,66,64,84,80
186,159147,83,68,65,69,67,86,80
190,142754,83,65,53,71,68,82,77
205,213331,82,72,27,58,58,82,78
213,207863,82,68,41,59,61,83,81
219,205452,82,74,40,64,63,82,79
221,204639,82,63,35,52,56,83,74
222,204525,82,71,56,63,61,82,79
230,202335,82,72,63,71,65,81,85
231,201862,82,71,59,69,68,81,83
234,199845,82,62,50,58,58,85,77
241,193532,82,74,48,68,70,81,81
242,193469,82,58,42,64,60,83,81
263,181786,82,58,51,67,66,82,83
265,179847,82,30,41,54,54,84,81
267,178372,82,62,61,68,61,82,83
275,171919,82,69,69,63,61,84,73
282,163824,82,65,43,56,61,81,81
287,157481,82,57,41,57,59,84,76
303,220793,81,71,47,50,59,81,83
309,213661,81,72,31,62,69,84,72
310,212622,81,70,67,82,80,77,73
317,207599,81,72,49,64,68,82,82
325,200724,81,76,37,65,63,81,78
333,198141,81,77,52,70,73,82,71
335,197655,81,58,40,53,60,81,86
338,195086,81,56,40,59,63,81,82
341,193352,81,74,67,80,76,77,72
349,189881,81,72,46,56,59,81,83
355,188005,81,61,60,71,69,80,81
362,183285,81,61,33,62,56,80,85
363,183280,81,53,54,48,58,81,82
366,179645,81,64,55,64,53,81,81
370,173198,81,68,36,53,60,84,77
374,166706,81,61,38,51,52,82,81
378,158625,81,45,52,67,63,82,74
381,142780,81,68,47,61,65,83,76
387,53612,81,27,41,55,47,85,70
393,215792,80,63,35,51,59,81,75
400,211320,80,61,39,53,64,83,75
417,205362,80,70,31,58,50,82,75
420,204082,80,74,39,57,63,81,77
422,203888,80,34,36,48,49,82,83
438,195861,80,72,68,76,72,81,78
439,194957,80,61,56,65,62,80,80
442,194229,80,74,40,70,74,77,76
449,192641,80,76,57,69,67,79,80
452,191687,80,63,55,65,54,81,83
454,190815,80,60,56,79,76,80,76
460,189156,80,57,53,68,63,80,78
470,184190,80,54,34,58,47,80,76
473,182002,80,51,50,59,68,80,81
477,177604,80,76,53,72,75,80,74
478,177458,80,70,51,61,60,82,80
485,173521,80,68,45,59,59,81,78
486,173432,80,66,49,65,62,81,75
489,173208,80,77,61,75,72,78,79
495,168530,80,60,42,52,51,81,82
498,165536,80,42,31,56,56,81,78
499,165526,80,51,33,42,54,83,82
507,156713,80,48,58,59,55,82,78
517,124635,80,68,66,67,73,82,80
518,112316,80,72,62,67,60,81,83
520,53914,80,50,46,58,55,82,78
530,221660,79,70,48,62,61,79,79
532,220440,79,73,34,55,64,78,77
535,215466,79,65,28,47,54,82,79
541,212602,79,61,40,62,61,80,72
543,212501,79,68,71,76,69,77,83
548,211256,79,88,55,66,76,78,72
551,210413,79,66,34,52,63,81,76
559,205923,79,76,56,72,74,78,76
565,204638,79,54,34,52,58,79,78
567,204311,79,67,50,58,55,79,83
570,203574,79,71,35,67,71,80,77
573,201988,79,48,28,51,50,81,76
574,201956,79,65,48,62,66,78,81
577,201377,79,75,40,56,63,80,78
578,201305,79,67,49,65,63,81,76
581,201049,79,74,31,44,59,82,75
593,199550,79,57,42,59,57,79,81
596,197948,79,49,57,59,60,78,85
597,195363,79,65,53,63,59,78,82
613,189433,79,55,31,51,59,82,73
621,187324,79,69,47,54,54,79,79
625,185103,79,66,69,78,75,79,78
628,184477,79,62,42,49,48,78,83
632,183855,79,70,40,58,60,81,76
636,180334,79,66,48,57,61,79,82
639,177578,79,37,36,50,40,80,81
640,177519,79,66,41,64,66,79,69
647,176285,79,69,52,49,50,80,81
648,176266,79,45,39,69,71,78,74
655,171791,79,43,35,52,60,79,77
658,169596,79,49,44,52,50,80,84
659,169588,79,65,32,59,52,80,74
663,166072,79,51,39,49,52,84,69
664,165501,79,38,60,70,65,79,69
665,165109,79,72,64,65,68,84,74
666,160741,79,80,56,61,52,79,77
671,148711,79,33,50,55,51,80,77
672,148122,79,52,39,67,46,82,75
696,227950,78,68,49,57,62,77,75
705,223033,78,68,30,51,53,80,71
710,221540,78,50,55,56,56,77,83
717,216778,78,72,52,51,64,78,82
726,215051,78,66,51,50,63,78,79
731,212977,78,77,54,66,67,79,77
738,210679,78,68,35,50,61,79,79
741,209997,78,57,27,61,64,79,75
750,207862,78,64,59,71,64,78,75
754,206222,78,72,52,60,55,78,76
755,206198,78,62,30,64,52,79,77
772,202849,78,46,49,59,49,79,81
777,201505,78,60,66,66,66,78,81
781,201143,78,68,46,73,69,78,72
796,198614,78,53,45,59,46,79,70
797,198584,78,69,56,52,63,76,88
809,193601,78,47,51,46,53,78,75
816,192620,78,46,51,73,52,79,69
818,192476,78,31,48,67,61,79,67
821,190531,78,70,42,55,51,78,85
822,190507,78,52,35,48,56,78,81
823,189682,78,66,37,58,65,77,82
831,188879,78,72,54,64,67,76,86
833,188829,78,70,44,65,68,77,74
851,183568,78,60,29,48,43,80,75
860,181262,78,63,52,58,64,78,79
868,178031,78,65,46,66,64,78,80
870,177983,78,66,32,46,56,81,79
893,183556,77,59,45,50,44,80,76
899,192012,77,65,45,62,70,78,68
900,146701,77,38,61,63,58,77,83
907,146963,77,70,50,66,68,75,77
908,205590,77,72,50,66,66,78,76
915,45595,77,34,38,52,46,80,68
916,205340,77,70,28,49,52,78,73
918,109852,77,33,43,50,42,79,76
922,139038,77,61,29,46,47,79,73
926,198688,77,66,45,61,56,76,85
930,172835,77,56,28,40,53,80,71
931,200228,77,37,33,48,45,78,81
932,212772,77,65,31,52,53,78,72
940,226601,77,68,31,36,45,79,76
943,219693,77,70,44,54,63,76,78
946,200752,77,79,33,53,60,77,83
950,204341,77,58,37,59,53,80,69
952,198198,77,68,48,53,57,76,76
954,175671,77,33,45,60,58,79,77
955,198200,77,65,56,66,70,76,77
959,225850,77,69,35,51,64,78,75
968,172610,77,63,33,47,57,78,71
973,193862,77,50,45,54,49,79,80
982,179789,77,57,31,53,54,78,73
986,192333,77,60,44,60,60,77,77
987,193869,77,61,40,62,54,77,80
989,216655,77,72,37,50,60,78,74
992,190034,77,71,35,63,64,76,80
1006,5213,77,65,40,41,56,82,70
1010,205408,77,69,36,57,62,78,73
1011,182882,77,67,58,70,70,74,84
1018,182888,77,53,53,71,66,77,79
1021,181098,77,63,51,75,70,76,72
1030,216437,77,69,28,44,48,78,76
1035,205943,77,68,64,56,62,79,73
1039,219258,77,51,42,46,55,77,84
1045,201342,77,60,33,62,62,77,77
1047,53630,77,65,61,67,64,72,92
1054,208004,77,66,49,66,69,79,79
1055,189060,77,72,51,61,65,78,76
1060,205705,77,55,49,58,57,78,76
1061,225161,77,73,41,56,62,79,70
1063,146059,77,56,45,64,58,76,78
1067,220814,77,65,42,53,56,78,70
1078,229270,77,70,54,57,70,78,74
1083,199577,77,43,41,65,62,78,73
1084,194201,77,62,42,52,61,77,81
1085,148123,77,46,47,63,48,78,76
1087,169115,77,64,37,55,58,79,72
1090,112542,77,34,61,62,50,81,70
1091,183966,77,67,53,68,64,78,72
1098,13732,77,34,47,57,50,79,73
1111,210862,77,55,32,46,51,78,72
1112,136113,77,37,30,41,57,77,82
1114,163761,77,64,38,48,54,77,76
1115,186801,77,74,65,61,69,77,88
1116,193714,77,53,40,61,54,76,78
1118,202935,77,70,30,54,57,76,76
1120,198076,77,63,55,56,53,77,82
1122,196801,77,66,48,59,64,77,77
1124,201922,77,68,61,64,59,77,81
1128,216774,77,66,47,59,59,78,74
1138,187598,77,58,46,53,60,78,70
1141,198352,77,61,40,56,52,80,74
1151,202201,77,73,59,64,63,78,74
1152,203485,77,78,43,64,67,78,76
1156,182495,77,74,51,63,64,79,75
1158,157665,77,45,40,52,49,78,77
1170,172018,77,60,37,61,50,77,79
1171,199667,77,68,49,61,65,76,78
1172,193011,77,56,27,52,60,77,77
1173,183284,77,66,56,67,62,75,79
1185,203263,77,46,37,56,61,77,82
1197,139274,76,40,27,39,52,79,76
1202,189709,76,44,48,59,53,77,80
1206,177937,76,63,34,51,63,75,80
1208,45842,76,48,43,54,50,75,82
1213,207894,76,61,49,64,59,77,79
1231,190756,76,51,42,53,57,75,79
1234,184873,76,58,32,58,51,76,80
1236,224811,76,70,53,52,48,77,81
1247,186672,76,63,56,67,68,78,77
1248,197937,76,70,47,52,50,75,81
1252,160051,76,61,39,52,54,76,83
1261,181560,76,68,35,52,62,75,78
1262,190520,76,64,41,64,67,81,74
1268,220477,76,62,32,40,49,78,72
1269,135742,76,59,34,61,55,75,78
1271,172862,76,65,49,67,69,76,74
1273,199487,76,43,37,60,58,74,82
1282,230212,76,57,48,58,49,76,78
1285,181318,76,54,66,75,75,64,77
1291,185163,76,62,44,46,53,77,77
1301,232270,76,84,62,66,66,74,77
1305,163407,76,53,53,65,64,76,76
1313,183892,76,75,54,64,59,75,81
1316,230230,76,58,50,61,49,75,79
1320,186456,76,44,57,74,70,77,72
1322,183129,76,62,52,55,57,77,76
1328,19292,76,31,47,53,43,77,80
1343,161644,76,71,46,57,55,75,75
1351,190576,76,53,32,57,43,77,80
1367,215930,76,72,51,58,64,76,77
1368,192122,76,75,52,67,69,76,70
1369,177019,76,61,37,61,65,80,71
1382,178051,76,59,52,68,66,73,81
1383,194947,76,33,46,56,46,77,81
1384,201860,76,59,37,50,47,77,77
1392,192904,76,58,27,61,59,75,79
1393,168585,76,38,57,57,54,78,77
1396,213899,76,70,40,58,66,75,80
1410,190868,76,68,50,70,69,76,76
1411,199829,76,52,61,74,66,71,78
1417,182168,76,43,32,57,58,78,75
1419,212889,76,58,36,51,66,76,76
1421,186521,76,54,44,59,49,75,77
1423,194203,76,70,38,59,65,77,77
1426,182941,76,65,52,53,56,74,79
1427,193440,76,70,49,61,65,76,79
1428,152993,76,46,55,53,42,76,80
1429,182179,76,66,31,37,47,77,83
1432,223142,76,71,45,45,59,75,79
1433,208295,76,67,54,66,69,75,74
1440,226221,76,71,33,56,59,78,72
1444,194222,76,63,40,53,46,76,82
1447,185010,76,53,45,61,57,75,82
1453,198581,76,70,39,55,51,77,78
1454,171189,76,37,41,57,52,77,78
1458,182713,76,43,27,52,44,78,74
1461,205756,76,55,57,64,64,75,75
1463,193470,76,74,47,73,73,76,69
1466,231361,76,66,33,46,57,77,79
1467,137410,76,42,39,49,54,79,70
1468,159938,76,57,48,58,49,76,78
1473,202695,76,64,43,61,64,75,79
1478,135883,76,65,43,69,67,76,76
1480,162508,76,54,51,56,51,79,73
1482,203213,76,56,40,48,54,76,79
1486,159952,76,58,50,61,49,75,79
1489,210897,76,74,54,53,66,75,80
1490,231633,76,63,31,50,48,77,81
1494,192725,76,76,38,67,65,75,78
1502,7647,76,32,33,44,50,80,65
1504,199393,76,59,50,60,58,75,83
1511,208615,76,69,45,46,56,75,80
1518,230379,76,61,39,52,54,76,83
1519,235243,76,65,55,63,67,75,79
1522,214766,76,49,48,48,46,76,77
1524,188654,76,65,43,49,56,78,73
1543,187132,76,63,49,58,67,75,78
1550,192766,76,58,43,65,66,76,72
1552,768,75,43,35,51,52,79,66
1554,212225,75,49,41,54,58,75,77
1555,197890,75,54,36,56,56,75,75
1558,209669,75,39,44,55,62,76,83
1560,189701,75,36,59,64,57,75,77
1561,172294,75,34,40,53,47,77,77
1562,219911,75,60,29,48,35,76,73
1568,163083,75,36,38,57,56,77,76
1579,184082,75,59,38,53,53,74,82
1580,186130,75,70,34,58,63,75,74
1585,223765,75,72,51,65,70,75,77
1587,203030,75,57,41,51,50,77,71
1588,188182,75,70,46,62,60,74,78
1590,208920,75,76,49,67,66,75,74
1591,191256,75,71,57,53,56,74,82
1612,221219,75,70,36,46,44,78,73
1618,190502,75,67,69,75,71,72,73
1637,204338,75,63,41,56,62,77,75
1641,159028,75,48,47,56,55,76,72
1642,160052,75,77,63,69,68,76,71
1645,200758,75,71,31,62,65,74,79
1648,171830,75,41,39,34,45,78,75
1650,183606,75,69,31,47,45,74,84
1653,198202,75,47,39,52,40,76,77
1654,160058,75,64,40,54,51,74,78
1656,178746,75,59,36,64,63,78,74
1662,225341,75,62,36,60,64,73,76
1681,202054,75,54,38,48,51,79,69
1686,207431,75,58,36,56,53,76,73
1692,162123,75,31,47,54,48,74,83
1700,206414,75,69,44,51,48,75,79
1703,218191,75,56,33,41,53,77,78
1706,230224,75,47,46,56,53,73,79
1711,230227,75,60,50,61,59,73,78
1712,139860,75,73,53,65,63,74,77
1714,230229,75,59,50,58,51,75,74
1723,163418,75,52,44,56,55,74,79
1724,175962,75,64,40,53,52,78,69
1740,210787,75,62,40,56,52,74,77
1743,176483,75,50,39,59,44,76,78
1750,194665,75,58,53,56,52,76,83
1757,203884,75,71,29,54,64,75,70
1765,221551,75,79,42,61,68,75,72
1775,185204,75,45,62,66,57,77,79
1776,190324,75,73,50,49,62,74,79
1779,171896,75,67,55,60,58,76,72
1784,167549,75,75,61,73,71,73,66
1786,210047,75,57,63,70,67,74,75
1790,230528,75,55,40,58,59,75,76
1797,189059,75,64,66,73,72,71,80
1801,198023,75,78,47,65,67,74,77
1804,162951,75,65,46,56,55,74,79
1810,189067,75,50,34,50,52,76,74
1811,210828,75,61,44,59,56,75,74
1814,229773,75,82,51,59,58,76,77
1819,46736,75,43,32,50,55,78,67
1831,214169,75,61,26,51,53,77,76
1832,1178,75,32,44,52,52,76,67
1842,191648,75,62,41,51,61,76,75
1847,211107,75,65,33,51,54,77,73
1848,214947,75,74,49,67,72,73,78
1849,160163,75,55,40,58,59,75,76
1853,205989,75,64,51,66,69,75,76
1855,216742,75,70,38,59,57,77,74
1859,158375,75,77,59,73,76,76,71
1867,232363,75,66,43,53,50,76,72
1875,204977,75,79,48,61,69,75,70
1885,211382,75,75,51,63,67,73,80
1886,178614,75,67,44,54,59,75,82
1896,235454,75,72,47,67,65,75,77
1901,219841,75,73,41,58,69,76,73
1905,183491,75,69,39,61,56,73,82
1907,224196,75,67,47,60,65,73,76
1910,189127,75,73,32,53,57,74,77
1911,191688,75,59,55,53,56,74,80
1917,159947,75,47,46,56,53,73,79
1921,159949,75,60,50,61,59,73,78
1922,190670,75,52,37,48,49,76,75
1923,159951,75,59,50,58,51,75,74
1930,190931,75,65,49,64,54,76,76
1931,198868,75,53,31,53,46,75,79
1937,183766,75,61,41,50,50,75,75
1938,199383,75,49,38,55,34,77,76
1940,206553,75,61,45,48,54,73,85
1949,208607,75,39,42,56,60,74,82
1961,204776,75,66,38,54,56,74,80
1966,173546,75,51,33,53,54,77,75
1967,199915,75,50,37,51,60,74,79
1968,214763,75,62,56,63,59,74,79
1970,194795,75,67,47,64,67,73,77
1976,230381,75,77,63,69,68,76,71
1982,182001,75,34,39,43,54,77,75
1986,230388,75,64,40,54,51,74,78
1988,199669,75,76,48,63,68,74,79
1991,194806,75,65,43,59,60,76,76
1995,170231,75,62,37,56,56,77,69
1997,178679,75,39,48,53,46,75,81
1998,183288,75,64,39,57,54,75,79
2003,208379,75,71,45,49,60,77,73
2005,202750,75,70,35,55,54,74,80
2012,167936,74,34,31,58,46,77,67
2013,191488,74,66,53,65,61,76,74
2017,230401,74,54,47,55,49,74,74
2022,233219,74,59,46,59,63,74,74
2026,194053,74,51,51,47,41,75,74
2031,213000,74,69,34,51,48,75,72
2032,219145,74,54,33,48,46,73,78
2033,215050,74,66,49,47,55,73,75
2045,208914,74,72,29,46,48,73,80
2047,225299,74,55,47,49,57,75,72
2050,157716,74,31,47,53,42,76,69
2053,220182,74,75,42,57,64,74,73
2060,215321,74,33,29,51,43,75,77
2063,204826,74,54,38,46,42,76,74
2065,209691,74,56,44,63,54,73,79
2072,212253,74,62,51,59,63,72,78
2080,210719,74,67,38,56,59,73,74
2084,213537,74,67,51,56,62,70,88
2088,225060,74,65,37,40,53,74,77
2099,224808,74,50,19,37,42,76,76
2100,177448,74,53,45,62,64,70,81
2103,192041,74,69,41,52,56,74,77
2108,172077,74,62,49,54,55,74,71
2110,137774,74,40,18,41,49,77,70
2120,221491,74,70,33,60,67,75,75
2123,190772,74,74,42,63,64,73,75
2131,188727,74,34,26,58,46,75,75
2138,160059,74,56,46,59,50,74,75
2139,179515,74,60,47,64,58,72,76
2141,186684,74,40,52,53,56,75,84
2148,230207,74,54,45,66,59,74,74
2151,160065,74,68,54,58,63,73,74
2152,230209,74,43,48,55,50,74,80
2168,160069,74,54,47,55,49,74,74
2169,230213,74,56,47,57,53,75,74
2170,206662,74,58,28,51,52,72,82
2171,223046,74,68,40,54,60,74,76
2184,202058,74,66,40,45,51,74,72
2188,213323,74,68,33,51,55,74,72
2190,213581,74,66,45,56,56,72,78
2202,163665,74,57,30,62,66,74,76
2211,221269,74,74,51,66,70,73,71
2212,158293,74,63,64,72,72,72,70
2216,199000,74,74,49,67,61,75,71
2226,231002,74,68,27,48,61,73,78
2230,229980,74,67,38,58,58,74,76
2235,190558,74,84,38,52,56,71,83
2239,198240,74,74,62,71,67,71,75
2240,199776,74,64,41,64,63,74,73
2241,176992,74,67,59,68,64,73,80
2243,190560,74,63,36,50,43,74,83
2254,215399,74,64,49,59,54,75,72
2260,189288,74,42,42,51,49,75,72
2261,203625,74,73,50,57,54,77,73
2267,217196,74,49,32,59,62,76,75
2270,192622,74,51,42,51,46,72,79
2271,214639,74,63,45,45,53,74,77
2276,178032,74,60,36,54,49,72,79
2277,185200,74,66,40,59,64,74,80
2283,233329,74,44,39,52,44,74,78
2290,182133,74,53,53,53,55,76,75
2294,232310,74,65,30,49,49,74,74
2303,178042,74,68,37,49,61,76,72
2310,207997,74,35,47,52,41,74,82
2312,187517,74,67,41,58,45,75,76
2318,219777,74,69,54,56,57,74,75
2323,183426,74,69,39,64,63,75,69
2331,211592,74,53,40,57,59,75,74
2334,189576,74,74,35,56,53,74,73
2336,205194,74,59,37,56,60,74,70
2351,217235,74,71,39,55,62,74,77
2356,212888,74,67,26,49,60,76,74
2357,223641,74,58,34,56,55,76,70
2368,213917,74,66,33,46,58,74,76
2377,200353,74,59,37,50,52,74,83
2379,183969,74,64,40,61,58,75,73
2381,201122,74,75,49,53,65,74,75
2389,178600,74,48,43,56,57,75,78
2392,225193,74,61,63,72,72,69,72
2402,190637,74,52,33,51,39,76,77
2405,170159,74,81,59,69,66,73,75
2413,230578,74,49,31,42,46,75,80
2427,232119,74,71,45,50,58,75,76
2431,205243,74,58,33,41,44,74,81
2433,226491,74,83,43,67,70,68,70
2440,159934,74,54,45,66,59,74,74
2442,178111,74,58,52,63,55,73,76
2447,159936,74,43,48,55,50,74,80
2457,159939,74,56,47,57,53,75,74
2463,159175,74,66,55,66,67,73,77
2472,216523,74,60,25,43,56,76,74
2473,192715,74,59,35,54,46,74,77
2476,200653,74,45,41,51,49,74,80
2477,202445,74,68,26,38,53,75,78
2482,216271,74,69,34,56,60,74,72
2485,142800,74,63,68,77,71,74,72
2491,200408,74,64,26,45,47,76,72
2506,203487,74,62,27,49,54,75,76
2509,190432,74,73,61,68,68,72,77
2519,226536,74,72,31,52,50,71,83
2523,216811,74,55,30,44,44,71,86
2529,157678,74,67,57,69,67,72,75
2534,125167,74,59,51,54,57,72,85
2536,199409,74,64,39,62,72,74,77
2538,195313,74,57,30,49,50,76,74
2540,224242,74,79,57,67,68,70,82
2541,178418,74,64,50,59,59,80,72
2552,230389,74,56,46,59,50,74,75
2553,232437,74,72,34,59,59,74,71
2558,157687,74,52,34,47,57,73,72
2563,120312,74,29,33,44,37,76,73
2566,176377,74,37,47,63,61,74,80
2571,212219,74,77,40,61,67,73,76
2572,178171,74,67,52,59,56,74,78
2575,230397,74,68,54,58,63,73,74
2576,172285,74,57,64,73,66,72,77
2580,46590,74,30,48,45,46,75,75
