,ID,overall,pac,sho,pas,dri,def,phy
8,182521,90,56,81,89,81,73,70
11,192985,89,75,84,88,85,45,75
13,184941,89,86,84,80,89,40,78
14,177003,89,73,75,86,89,72,65
19,211110,88,86,85,81,91,24,67
22,189509,88,72,75,85,90,62,63
28,176635,88,71,74,87,86,24,58
32,9014,88,86,86,81,91,32,63
33,215914,87,81,66,75,79,81,84
34,199556,87,65,59,84,89,79,68
35,195864,87,74,79,84,85,68,88
36,190460,87,75,78,88,84,47,63
37,181872,87,75,81,80,79,83,84
40,171877,87,74,80,84,84,68,71
41,168651,87,65,84,86,83,60,66
42,168542,87,68,72,87,87,38,61
45,41,87,71,70,87,90,58,58
47,198710,86,76,85,85,83,40,68
48,197781,86,71,83,82,89,54,62
49,197445,86,86,73,81,80,82,74
51,191043,86,86,65,77,81,81,84
52,189596,86,77,82,77,78,46,71
53,189511,86,40,59,79,74,82,81
54,189242,86,82,78,83,88,35,64
55,188350,86,88,87,84,86,39,64
59,178518,86,78,80,78,82,81,83
60,177610,86,50,60,69,65,86,80
65,162895,86,63,77,88,80,61,64
66,156616,86,82,76,83,90,25,58
69,208418,85,88,79,78,88,29,63
72,200145,85,62,68,74,72,84,86
74,193747,85,72,75,86,82,65,76
77,192883,85,86,79,80,87,54,70
83,186942,85,71,74,83,87,64,71
86,180206,85,74,71,86,86,67,69
87,173210,85,78,72,83,84,76,74
89,170890,85,78,67,77,75,83,84
95,220834,84,82,82,83,83,39,61
96,218667,84,81,72,81,90,45,61
98,211117,84,76,81,77,82,64,78
101,202166,84,78,80,82,86,34,64
107,191740,84,73,72,81,83,78,77
108,191202,84,64,70,77,72,80,87
109,189712,84,67,74,82,78,78,82
112,184120,84,41,72,79,75,78,77
113,181458,84,84,80,78,82,42,75
115,180403,84,88,76,81,86,49,64
116,179846,84,64,74,80,76,80,84
119,178088,84,67,76,84,84,32,55
129,220971,83,73,71,77,89,62,70
132,213565,83,85,78,80,86,62,70
133,212814,83,73,70,80,83,70,71
136,209658,83,85,74,80,80,78,76
137,209499,83,74,65,76,76,83,83
140,208448,83,75,74,83,83,30,66
142,207566,83,53,57,77,74,80,83
144,204485,83,82,74,78,88,28,55
146,201942,83,77,81,79,85,46,77
147,200888,83,68,62,69,74,82,87
148,199715,83,80,77,79,83,28,76
153,193474,83,76,60,70,77,83,81
157,191180,83,71,75,83,85,58,64
158,189513,83,52,77,87,78,61,69
159,189358,83,70,68,76,87,34,49
160,189125,83,78,77,82,83,67,73
163,188152,83,74,75,79,82,43,47
164,187936,83,57,67,73,71,80,88
168,184826,83,65,76,82,81,78,72
170,184144,83,81,74,81,85,39,55
171,181783,83,72,78,71,74,65,87
172,180819,83,73,75,80,84,65,74
174,178562,83,69,70,85,84,62,67
177,177388,83,74,78,85,87,37,69
178,177358,83,68,62,76,77,79,81
184,162240,83,76,72,77,85,75,84
185,161956,83,70,69,85,86,63,65
187,158963,83,69,63,81,80,75,75
189,146562,83,65,76,85,85,61,63
190,142754,83,65,53,71,68,82,77
191,139869,83,69,78,86,82,38,57
192,139068,83,81,79,81,86,24,64
193,53302,83,68,64,73,70,81,82
195,20775,83,83,76,81,88,18,60
196,20289,83,63,82,80,76,70,83
199,222492,82,94,77,72,86,35,70
200,219809,82,73,49,70,77,81,83
201,219683,82,74,76,78,78,76,83
202,216594,82,80,78,77,87,31,75
203,216451,82,80,71,82,81,72,74
206,212404,82,84,76,77,86,34,65
208,211575,82,68,71,78,78,71,81
209,211300,82,90,79,71,86,41,74
210,208808,82,89,81,76,83,29,67
211,208618,82,83,73,81,82,43,67
212,208421,82,73,69,78,81,77,75
215,207471,82,64,77,80,83,43,76
216,207410,82,81,69,82,85,61,71
218,206545,82,73,74,80,81,65,69
220,204970,82,82,76,78,84,36,63
223,204277,82,77,61,76,77,73,80
224,203551,82,85,79,78,82,76,76
225,203483,82,73,80,74,74,67,79
226,202857,82,92,77,74,85,33,68
227,202652,82,93,71,74,85,46,61
229,202477,82,93,70,75,88,26,61
230,202335,82,72,63,71,65,81,85
233,200104,82,86,83,75,83,25,66
235,199503,82,50,66,79,72,72,78
236,198164,82,81,75,81,86,53,68
237,197965,82,79,77,81,83,61,69
239,194794,82,81,78,81,83,37,78
241,193532,82,74,48,68,70,81,81
243,193348,82,83,77,78,85,46,65
244,193082,82,91,74,75,87,61,65
245,190483,82,92,77,77,85,32,64
247,189560,82,50,73,73,68,83,83
248,188942,82,64,66,70,74,82,91
249,188803,82,92,79,75,86,47,63
250,187754,82,83,76,78,87,48,66
251,187072,82,71,84,79,79,65,74
253,186561,82,68,75,79,81,65,75
255,184484,82,66,81,84,79,52,70
256,184267,82,80,73,77,89,33,56
257,184200,82,77,74,79,81,53,81
258,183711,82,72,70,83,76,76,81
259,183574,82,71,84,82,82,39,69
261,183376,82,53,57,66,68,81,85
264,181291,82,81,75,76,84,66,74
269,177600,82,58,75,84,75,66,74
270,177457,82,68,64,73,72,82,79
271,177413,82,71,74,77,82,73,80
280,167431,82,71,72,83,81,72,68
281,165239,82,78,76,81,84,38,59
285,162347,82,69,75,81,81,70,72
292,143745,82,71,73,81,84,61,72
293,135507,82,73,73,76,78,77,78
295,108080,82,77,59,73,76,80,77
297,231677,81,92,77,73,83,38,74
300,227055,81,94,70,73,86,44,60
301,222737,81,83,76,78,84,26,63
302,222028,81,70,50,76,76,76,68
306,216352,81,73,73,79,81,68,69
308,216194,81,48,58,74,71,73,80
309,213661,81,72,31,62,69,84,72
310,212622,81,70,67,82,80,77,73
311,211368,81,93,71,73,86,34,65
313,210008,81,70,72,78,78,73,77
314,209889,81,77,75,81,84,74,63
316,208670,81,76,74,86,78,52,64
318,205498,81,75,64,81,80,70,68
322,202371,81,76,74,75,77,79,84
323,201995,81,92,75,77,86,53,62
324,201400,81,74,77,79,85,62,64
327,199564,81,77,64,80,76,79,72
329,199354,81,81,82,76,80,31,71
330,199189,81,77,73,77,82,55,77
331,198951,81,87,78,72,80,35,74
332,198717,81,90,71,71,86,33,72
336,197242,81,65,58,72,66,79,86
337,195365,81,80,68,77,84,58,62
339,193738,81,75,77,79,84,56,70
340,193525,81,84,62,73,76,80,77
342,193165,81,83,72,74,88,40,51
344,192638,81,77,69,77,77,77,80
345,192318,81,68,72,81,88,38,62
347,190584,81,60,66,77,79,77,70
350,189461,81,71,69,80,82,62,72
351,189251,81,71,67,80,80,74,67
352,188988,81,82,71,78,86,28,55
354,188388,81,76,78,83,81,33,62
355,188005,81,61,60,71,69,80,81
356,187961,81,76,74,74,77,77,76
358,184942,81,81,76,77,82,45,73
360,183498,81,71,76,76,76,77,81
364,181820,81,77,81,75,84,34,67
368,177326,81,80,75,79,83,29,49
371,172175,81,83,77,77,83,46,65
372,171897,81,76,64,80,82,66,68
373,171579,81,57,77,81,76,68,76
377,161648,81,76,77,77,86,35,69
380,146954,81,64,73,79,76,75,73
383,121944,81,39,75,81,73,74,75
386,54050,81,68,81,81,76,52,81
388,49370,81,32,64,76,67,76,82
391,223848,80,71,71,73,79,73,83
392,216393,80,53,79,80,77,68,71
394,214997,80,82,80,66,86,49,59
395,213296,80,67,71,77,81,70,72
398,212194,80,81,73,76,84,26,61
399,211748,80,68,73,79,82,53,71
401,210896,80,76,75,80,80,74,77
402,210617,80,86,67,79,82,37,48
403,210406,80,83,69,79,83,62,60
404,210243,80,88,62,77,81,77,70
406,209297,80,82,70,76,82,71,63
407,208334,80,77,60,76,75,79,77
408,208333,80,71,67,77,77,78,84
409,208093,80,82,78,65,76,45,65
410,207993,80,78,53,61,64,78,89
411,207439,80,72,67,81,79,70,73
413,206467,80,82,80,75,77,41,76
414,206413,80,67,61,72,69,79,80
415,206273,80,88,73,76,82,47,68
416,205976,80,79,77,69,80,28,64
418,205192,80,79,74,81,84,51,58
424,203486,80,81,79,80,85,37,64
428,200647,80,70,82,80,81,35,64
430,199914,80,77,64,75,78,79,81
431,199827,80,71,71,75,78,64,79
432,199434,80,70,67,80,83,37,63
434,198950,80,76,73,80,83,30,53
435,198784,80,88,70,74,84,52,71
436,198118,80,70,59,66,67,81,81
437,196934,80,75,74,83,80,59,69
443,193886,80,77,81,76,81,52,72
444,193361,80,77,77,80,81,63,73
445,193130,80,83,82,74,80,38,70
446,193116,80,66,61,69,69,80,81
448,193061,80,78,68,80,81,66,68
449,192641,80,76,57,69,67,79,80
450,192492,80,80,73,76,83,32,50
453,190972,80,87,74,74,80,44,70
456,190717,80,85,74,70,81,52,82
458,189574,80,59,64,75,70,79,73
460,189156,80,57,53,68,63,80,78
461,188802,80,80,51,69,66,79,79
462,188253,80,70,60,75,74,77,81
463,187735,80,77,74,78,78,71,70
464,187688,80,35,75,85,81,38,63
467,185221,80,64,59,68,69,80,80
468,185132,80,43,70,70,70,79,78
472,183909,80,88,72,77,84,39,56
474,178416,80,89,76,76,81,32,71
478,177458,80,70,51,61,60,82,80
479,176915,80,69,70,77,79,68,75
481,176376,80,77,81,73,85,52,74
482,176104,80,75,73,80,82,49,72
483,175379,80,67,76,83,82,40,62
484,173909,80,73,77,77,79,67,78
488,173221,80,78,80,77,81,56,71
490,172522,80,75,73,80,79,66,71
491,170370,80,66,68,82,81,59,67
492,170368,80,76,77,79,82,45,67
494,169195,80,67,73,80,82,66,70
497,167514,80,76,67,71,76,80,76
500,164859,80,91,75,72,80,38,66
504,162329,80,65,62,74,76,72,78
505,158232,80,68,78,73,85,33,62
506,157960,80,79,76,79,83,66,71
508,150516,80,78,84,75,77,39,74
509,146460,80,56,60,72,67,78,78
510,143587,80,70,75,81,79,59,69
514,138449,80,62,76,79,78,30,58
515,138412,80,67,74,82,77,76,78
516,134744,80,69,65,75,75,77,79
517,124635,80,68,66,67,73,82,80
523,21146,80,44,65,81,72,75,66
524,230977,79,89,74,75,81,56,61
529,224334,79,84,72,78,80,57,76
533,218339,79,73,65,77,81,62,67
534,216150,79,82,66,70,75,75,76
536,215259,79,86,73,76,79,43,61
537,215057,79,49,58,70,68,76,80
538,213345,79,92,75,72,82,19,58
540,212886,79,79,75,77,80,73,81
541,212602,79,61,40,62,61,80,72
542,212523,79,75,82,78,77,59,71
543,212501,79,68,71,76,69,77,83
544,212150,79,72,62,77,84,35,53
545,211688,79,86,58,75,77,75,68
546,211381,79,82,71,73,86,36,43
547,211354,79,68,70,76,77,72,77
550,210514,79,92,65,75,80,73,71
552,208777,79,71,68,78,84,58,52
553,208128,79,69,80,81,78,41,56
556,206511,79,67,80,74,77,66,69
557,206113,79,90,76,71,83,43,67
560,205678,79,89,79,71,82,37,58
561,205525,79,89,70,75,84,40,45
562,205407,79,70,73,79,80,63,70
564,205069,79,79,60,74,84,76,66
566,204523,79,67,68,78,79,61,60
568,204024,79,53,47,69,73,76,76
571,202642,79,73,65,75,67,77,75
572,202556,79,88,77,72,82,30,77
574,201956,79,65,48,62,66,78,81
575,201858,79,83,80,73,83,35,67
576,201533,79,89,74,73,83,26,72
579,201262,79,69,74,79,81,63,62
582,201046,79,75,67,79,81,33,66
584,200641,79,86,76,76,82,30,58
587,199977,79,46,62,74,71,75,71
588,199952,79,73,75,78,82,44,48
591,199576,79,57,39,65,64,78,85
592,199561,79,72,78,76,80,39,67
595,198077,79,87,75,74,81,35,59
599,194174,79,79,69,78,81,43,64
600,193887,79,82,74,73,80,29,72
601,193171,79,84,59,71,74,76,72
602,192679,79,75,56,73,71,76,73
603,192565,79,76,71,78,82,34,59
605,190875,79,69,73,74,76,77,89
607,190544,79,80,74,76,85,32,62
608,190286,79,63,71,80,78,26,50
612,189575,79,81,70,73,84,43,51
614,189271,79,66,52,67,75,78,80
619,187457,79,73,71,78,77,75,76
622,186307,79,72,78,77,82,36,68
624,186132,79,68,67,76,77,74,77
626,184949,79,82,64,75,75,73,75
627,184881,79,86,71,72,83,32,61
630,183899,79,85,71,76,81,42,56
631,183893,79,43,59,66,69,78,75
