,ID,overall,pac,sho,pas,dri,def,phy
0,20801,94,90,93,82,90,33,80
1,158023,93,89,90,86,96,26,61
3,176580,92,82,90,79,87,42,81
5,188545,91,81,88,75,86,38,82
9,167664,90,79,87,70,83,25,74
13,184941,89,86,84,80,89,40,78
16,153079,89,87,88,75,89,23,72
19,211110,88,86,85,81,91,24,67
21,194765,88,86,85,78,87,30,68
23,188567,88,96,84,75,81,37,71
31,41236,88,65,88,81,82,32,82
38,179813,87,77,83,72,80,42,81
46,202126,86,73,87,72,78,42,83
50,192505,86,83,85,70,74,34,84
52,189596,86,77,82,77,78,46,71
55,188350,86,88,87,84,86,39,64
58,179844,86,75,83,65,76,40,88
61,175943,86,90,82,79,89,36,55
64,165153,86,78,82,78,82,22,74
71,201153,85,83,81,71,80,24,74
75,193301,85,86,83,71,85,38,77
98,211117,84,76,81,77,82,64,78
102,201399,84,78,83,61,75,26,70
114,180930,84,64,83,70,74,32,72
121,167397,84,69,84,68,78,37,74
125,143076,84,90,77,80,89,31,58
126,106231,84,70,83,65,77,46,80
127,231747,83,90,80,74,85,47,74
139,208596,83,82,81,57,78,29,84
146,201942,83,77,81,79,85,46,77
154,192629,83,81,83,73,85,29,63
155,192387,83,83,84,61,79,38,76
161,189068,83,60,83,57,64,43,83
169,184431,83,84,81,79,87,27,57
171,181783,83,72,78,71,74,65,87
179,176769,83,65,85,75,84,35,65
202,216594,82,80,78,77,87,31,75
204,215785,82,92,76,72,86,29,70
207,212188,82,92,79,65,81,28,65
209,211300,82,90,79,71,86,41,74
210,208808,82,89,81,76,83,29,67
214,207664,82,77,79,64,79,24,70
233,200104,82,86,83,75,83,25,66
238,195093,82,67,82,65,76,37,77
252,186627,82,80,83,70,79,26,77
259,183574,82,71,84,82,82,39,69
266,178509,82,53,81,70,73,38,83
268,178224,82,79,80,66,78,31,59
272,176600,82,87,82,75,78,35,68
276,171833,82,76,82,69,79,25,68
278,169416,82,84,79,77,82,25,66
289,150418,82,72,82,62,73,28,78
291,144622,82,72,79,80,86,41,67
294,113422,82,69,83,74,82,31,69
297,231677,81,92,77,73,83,38,74
298,230666,81,87,79,71,87,26,67
304,217699,81,69,77,67,72,47,85
305,216354,81,73,81,70,84,26,71
307,216201,81,93,78,73,79,34,79
315,208830,81,91,79,63,77,51,78
321,202685,81,79,80,59,77,38,83
328,199451,81,83,79,75,85,34,63
329,199354,81,81,82,76,80,31,71
331,198951,81,87,78,72,80,35,74
357,185431,81,73,79,64,75,35,76
361,183483,81,58,81,64,72,19,83
364,181820,81,77,81,75,84,34,67
377,161648,81,76,77,77,86,35,69
379,153244,81,72,83,72,73,39,82
386,54050,81,68,81,81,76,52,81
389,49369,81,76,78,71,79,25,69
390,9676,81,74,83,74,79,37,71
394,214997,80,82,80,66,86,49,59
409,208093,80,82,78,65,76,45,65
413,206467,80,82,80,75,77,41,76
416,205976,80,79,77,69,80,28,64
419,204529,80,79,80,59,77,27,74
425,203280,80,78,80,75,79,31,68
429,200610,80,77,81,78,79,39,82
433,199110,80,89,77,68,85,25,72
440,194879,80,66,77,69,75,42,80
445,193130,80,83,82,74,80,38,70
451,192086,80,84,77,71,81,44,72
456,190717,80,85,74,70,81,52,82
459,189250,80,75,77,56,74,31,80
465,187491,80,87,80,70,76,32,73
466,186146,80,84,74,71,79,37,78
471,184111,80,73,78,65,73,33,80
475,178311,80,85,80,73,83,25,63
480,176733,80,75,79,63,74,29,71
484,173909,80,73,77,77,79,67,78
500,164859,80,91,75,72,80,38,66
503,162369,80,53,80,68,72,31,76
505,158232,80,68,78,73,85,33,62
508,150516,80,78,84,75,77,39,74
521,50542,80,74,85,61,79,25,65
526,227476,79,85,76,59,75,43,85
528,225018,79,78,78,62,75,45,80
542,212523,79,75,82,78,77,59,71
554,207948,79,88,69,72,85,37,67
555,207441,79,75,78,72,85,36,62
563,205175,79,73,83,62,72,37,71
569,203757,79,81,74,59,78,28,78
575,201858,79,83,80,73,83,35,67
586,200454,79,73,78,62,76,30,63
589,199852,79,77,78,71,76,37,77
590,199602,79,67,81,65,76,30,75
594,198683,79,74,81,71,78,25,70
611,189963,79,66,80,59,72,39,81
615,189169,79,75,79,58,72,31,80
616,188955,79,76,78,69,78,30,73
618,188428,79,91,77,67,77,39,73
629,184069,79,60,80,50,66,30,83
642,176993,79,76,72,76,78,25,47
645,176571,79,75,74,75,79,56,77
661,168320,79,77,78,70,75,31,74
669,159145,79,68,80,65,72,41,71
677,146439,79,63,80,66,71,39,79
682,137809,79,74,79,63,78,34,75
689,45186,79,68,74,81,82,38,56
694,228941,78,81,74,62,77,44,78
695,228687,78,76,79,61,77,26,69
