,ID,overall,pac,sho,pas,dri,def,phy
8,182521,90,56,81,89,81,73,70
11,192985,89,75,84,88,85,45,75
14,177003,89,73,75,86,89,72,65
19,211110,88,86,85,81,91,24,67
22,189509,88,72,75,85,90,62,63
28,176635,88,71,74,87,86,24,58
33,215914,87,81,66,75,79,81,84
34,199556,87,65,59,84,89,79,68
35,195864,87,74,79,84,85,68,88
36,190460,87,75,78,88,84,47,63
37,181872,87,75,81,80,79,83,84
40,171877,87,74,80,84,84,68,71
41,168651,87,65,84,86,83,60,66
42,168542,87,68,72,87,87,38,61
45,41,87,71,70,87,90,58,58
47,198710,86,76,85,85,83,40,68
48,197781,86,71,83,82,89,54,62
49,197445,86,86,73,81,80,82,74
52,189596,86,77,82,77,78,46,71
53,189511,86,40,59,79,74,82,81
54,189242,86,82,78,83,88,35,64
59,178518,86,78,80,78,82,81,83
60,177610,86,50,60,69,65,86,80
65,162895,86,63,77,88,80,61,64
72,200145,85,62,68,74,72,84,86
74,193747,85,72,75,86,82,65,76
77,192883,85,86,79,80,87,54,70
83,186942,85,71,74,83,87,64,71
86,180206,85,74,71,86,86,67,69
87,173210,85,78,72,83,84,76,74
89,170890,85,78,67,77,75,83,84
95,220834,84,82,82,83,83,39,61
98,211117,84,76,81,77,82,64,78
101,202166,84,78,80,82,86,34,64
107,191740,84,73,72,81,83,78,77
108,191202,84,64,70,77,72,80,87
109,189712,84,67,74,82,78,78,82
112,184120,84,41,72,79,75,78,77
113,181458,84,84,80,78,82,42,75
115,180403,84,88,76,81,86,49,64
116,179846,84,64,74,80,76,80,84
119,178088,84,67,76,84,84,32,55
129,220971,83,73,71,77,89,62,70
133,212814,83,73,70,80,83,70,71
136,209658,83,85,74,80,80,78,76
137,209499,83,74,65,76,76,83,83
140,208448,83,75,74,83,83,30,66
142,207566,83,53,57,77,74,80,83
146,201942,83,77,81,79,85,46,77
147,200888,83,68,62,69,74,82,87
153,193474,83,76,60,70,77,83,81
157,191180,83,71,75,83,85,58,64
158,189513,83,52,77,87,78,61,69
159,189358,83,70,68,76,87,34,49
160,189125,83,78,77,82,83,67,73
163,188152,83,74,75,79,82,43,47
164,187936,83,57,67,73,71,80,88
168,184826,83,65,76,82,81,78,72
172,180819,83,73,75,80,84,65,74
174,178562,83,69,70,85,84,62,67
177,177388,83,74,78,85,87,37,69
178,177358,83,68,62,76,77,79,81
184,162240,83,76,72,77,85,75,84
185,161956,83,70,69,85,86,63,65
187,158963,83,69,63,81,80,75,75
189,146562,83,65,76,85,85,61,63
190,142754,83,65,53,71,68,82,77
191,139869,83,69,78,86,82,38,57
192,139068,83,81,79,81,86,24,64
193,53302,83,68,64,73,70,81,82
196,20289,83,63,82,80,76,70,83
200,219809,82,73,49,70,77,81,83
201,219683,82,74,76,78,78,76,83
202,216594,82,80,78,77,87,31,75
203,216451,82,80,71,82,81,72,74
208,211575,82,68,71,78,78,71,81
212,208421,82,73,69,78,81,77,75
215,207471,82,64,77,80,83,43,76
216,207410,82,81,69,82,85,61,71
218,206545,82,73,74,80,81,65,69
223,204277,82,77,61,76,77,73,80
224,203551,82,85,79,78,82,76,76
225,203483,82,73,80,74,74,67,79
230,202335,82,72,63,71,65,81,85
235,199503,82,50,66,79,72,72,78
236,198164,82,81,75,81,86,53,68
237,197965,82,79,77,81,83,61,69
241,193532,82,74,48,68,70,81,81
247,189560,82,50,73,73,68,83,83
248,188942,82,64,66,70,74,82,91
249,188803,82,92,79,75,86,47,63
251,187072,82,71,84,79,79,65,74
253,186561,82,68,75,79,81,65,75
255,184484,82,66,81,84,79,52,70
258,183711,82,72,70,83,76,76,81
259,183574,82,71,84,82,82,39,69
261,183376,82,53,57,66,68,81,85
264,181291,82,81,75,76,84,66,74
269,177600,82,58,75,84,75,66,74
270,177457,82,68,64,73,72,82,79
271,177413,82,71,74,77,82,73,80
280,167431,82,71,72,83,81,72,68
281,165239,82,78,76,81,84,38,59
285,162347,82,69,75,81,81,70,72
292,143745,82,71,73,81,84,61,72
293,135507,82,73,73,76,78,77,78
302,222028,81,70,50,76,76,76,68
306,216352,81,73,73,79,81,68,69
308,216194,81,48,58,74,71,73,80
309,213661,81,72,31,62,69,84,72
310,212622,81,70,67,82,80,77,73
313,210008,81,70,72,78,78,73,77
314,209889,81,77,75,81,84,74,63
316,208670,81,76,74,86,78,52,64
318,205498,81,75,64,81,80,70,68
324,201400,81,74,77,79,85,62,64
327,199564,81,77,64,80,76,79,72
329,199354,81,81,82,76,80,31,71
330,199189,81,77,73,77,82,55,77
336,197242,81,65,58,72,66,79,86
337,195365,81,80,68,77,84,58,62
339,193738,81,75,77,79,84,56,70
345,192318,81,68,72,81,88,38,62
347,190584,81,60,66,77,79,77,70
350,189461,81,71,69,80,82,62,72
351,189251,81,71,67,80,80,74,67
352,188988,81,82,71,78,86,28,55
354,188388,81,76,78,83,81,33,62
355,188005,81,61,60,71,69,80,81
356,187961,81,76,74,74,77,77,76
358,184942,81,81,76,77,82,45,73
360,183498,81,71,76,76,76,77,81
364,181820,81,77,81,75,84,34,67
368,177326,81,80,75,79,83,29,49
372,171897,81,76,64,80,82,66,68
373,171579,81,57,77,81,76,68,76
377,161648,81,76,77,77,86,35,69
380,146954,81,64,73,79,76,75,73
383,121944,81,39,75,81,73,74,75
386,54050,81,68,81,81,76,52,81
388,49370,81,32,64,76,67,76,82
391,223848,80,71,71,73,79,73,83
392,216393,80,53,79,80,77,68,71
394,214997,80,82,80,66,86,49,59
395,213296,80,67,71,77,81,70,72
398,212194,80,81,73,76,84,26,61
399,211748,80,68,73,79,82,53,71
401,210896,80,76,75,80,80,74,77
403,210406,80,83,69,79,83,62,60
406,209297,80,82,70,76,82,71,63
407,208334,80,77,60,76,75,79,77
408,208333,80,71,67,77,77,78,84
409,208093,80,82,78,65,76,45,65
411,207439,80,72,67,81,79,70,73
414,206413,80,67,61,72,69,79,80
418,205192,80,79,74,81,84,51,58
428,200647,80,70,82,80,81,35,64
430,199914,80,77,64,75,78,79,81
431,199827,80,71,71,75,78,64,79
432,199434,80,70,67,80,83,37,63
434,198950,80,76,73,80,83,30,53
436,198118,80,70,59,66,67,81,81
437,196934,80,75,74,83,80,59,69
443,193886,80,77,81,76,81,52,72
444,193361,80,77,77,80,81,63,73
446,193116,80,66,61,69,69,80,81
448,193061,80,78,68,80,81,66,68
449,192641,80,76,57,69,67,79,80
450,192492,80,80,73,76,83,32,50
458,189574,80,59,64,75,70,79,73
460,189156,80,57,53,68,63,80,78
462,188253,80,70,60,75,74,77,81
463,187735,80,77,74,78,78,71,70
464,187688,80,35,75,85,81,38,63
467,185221,80,64,59,68,69,80,80
468,185132,80,43,70,70,70,79,78
478,177458,80,70,51,61,60,82,80
479,176915,80,69,70,77,79,68,75
482,176104,80,75,73,80,82,49,72
484,173909,80,73,77,77,79,67,78
488,173221,80,78,80,77,81,56,71
490,172522,80,75,73,80,79,66,71
491,170370,80,66,68,82,81,59,67
494,169195,80,67,73,80,82,66,70
504,162329,80,65,62,74,76,72,78
506,157960,80,79,76,79,83,66,71
508,150516,80,78,84,75,77,39,74
509,146460,80,56,60,72,67,78,78
510,143587,80,70,75,81,79,59,69
514,138449,80,62,76,79,78,30,58
515,138412,80,67,74,82,77,76,78
516,134744,80,69,65,75,75,77,79
517,124635,80,68,66,67,73,82,80
523,21146,80,44,65,81,72,75,66
524,230977,79,89,74,75,81,56,61
533,218339,79,73,65,77,81,62,67
537,215057,79,49,58,70,68,76,80
540,212886,79,79,75,77,80,73,81
541,212602,79,61,40,62,61,80,72
542,212523,79,75,82,78,77,59,71
543,212501,79,68,71,76,69,77,83
544,212150,79,72,62,77,84,35,53
546,211381,79,82,71,73,86,36,43
547,211354,79,68,70,76,77,72,77
552,208777,79,71,68,78,84,58,52
553,208128,79,69,80,81,78,41,56
556,206511,79,67,80,74,77,66,69
561,205525,79,89,70,75,84,40,45
562,205407,79,70,73,79,80,63,70
566,204523,79,67,68,78,79,61,60
568,204024,79,53,47,69,73,76,76
571,202642,79,73,65,75,67,77,75
574,201956,79,65,48,62,66,78,81
579,201262,79,69,74,79,81,63,62
582,201046,79,75,67,79,81,33,66
587,199977,79,46,62,74,71,75,71
588,199952,79,73,75,78,82,44,48
591,199576,79,57,39,65,64,78,85
603,192565,79,76,71,78,82,34,59
605,190875,79,69,73,74,76,77,89
607,190544,79,80,74,76,85,32,62
608,190286,79,63,71,80,78,26,50
612,189575,79,81,70,73,84,43,51
614,189271,79,66,52,67,75,78,80
619,187457,79,73,71,78,77,75,76
622,186307,79,72,78,77,82,36,68
624,186132,79,68,67,76,77,74,77
631,183893,79,43,59,66,69,78,75
634,183108,79,81,75,76,82,57,72
635,181402,79,70,57,69,72,75,82
642,176993,79,76,72,76,78,25,47
643,176944,79,52,72,70,73,76,89
644,176731,79,56,67,67,67,80,85
645,176571,79,75,74,75,79,56,77
648,176266,79,45,39,69,71,78,74
649,173474,79,78,74,80,81,67,74
653,172290,79,68,72,76,78,71,72
654,172114,79,62,81,79,77,36,65
656,170797,79,54,67,83,80,72,68
662,167943,79,63,73,78,75,73,71
667,159240,79,67,75,82,78,64,66
668,159171,79,70,76,80,81,29,56
670,156519,79,74,70,71,74,73,79
674,147782,79,66,65,73,75,77,73
676,146482,79,48,75,84,75,46,58
682,137809,79,74,79,63,78,34,75
684,137351,79,56,55,79,77,74,70
689,45186,79,68,74,81,82,38,56
690,8473,79,73,70,79,82,43,63
691,6826,79,32,65,79,68,78,76
692,80,79,47,73,85,76,62,69
695,228687,78,76,79,61,77,26,69
698,227234,78,69,55,68,71,76,84
700,225199,78,76,65,76,79,73,72
701,225028,78,50,68,67,70,76,74
702,223874,78,61,70,74,80,73,59
708,222509,78,68,61,76,81,70,64
712,219985,78,68,67,74,74,71,77
714,219576,78,66,71,70,75,77,84
727,214977,78,71,49,69,72,77,77
728,213582,78,62,81,80,83,34,68
731,212977,78,77,54,66,67,79,77
734,212198,78,78,73,78,80,63,70
735,212153,78,70,64,73,75,75,74
737,210930,78,70,69,78,80,39,55
739,210333,78,88,72,72,78,39,62
742,209989,78,77,63,69,75,75,81
745,208450,78,77,71,77,82,62,69
746,208230,78,60,65,69,70,78,84
747,208135,78,66,71,73,76,74,81
748,207939,78,60,62,71,69,74,84
750,207862,78,64,59,71,64,78,75
756,205633,78,78,67,78,80,65,68
757,205569,78,66,66,84,75,61,67
759,204923,78,83,78,71,78,32,76
765,203980,78,75,74,76,79,38,65
766,203895,78,59,67,76,79,50,57
769,203535,78,73,68,76,78,68,80
770,203362,78,85,71,76,80,39,65
773,202648,78,55,63,76,78,64,66
774,202325,78,60,38,74,75,70,76
775,201878,78,72,77,79,78,38,65
776,201508,78,71,75,76,80,39,62
777,201505,78,60,66,66,66,78,81
778,201455,78,71,68,71,77,75,81
780,201144,78,59,63,77,73,75,74
787,200529,78,76,77,75,78,45,76
789,200215,78,68,62,70,73,77,80
790,199767,78,71,76,75,75,65,77
791,199626,78,71,72,75,78,69,68
794,199042,78,75,71,80,77,61,70
795,198706,78,68,73,78,78,27,55
800,197225,78,71,70,78,79,43,69
802,196889,78,88,66,76,85,35,55
803,196432,78,70,70,75,74,75,80
808,194845,78,76,79,76,79,43,68
811,193283,78,73,72,75,74,74,81
814,192841,78,78,70,76,82,62,62
815,192722,78,78,78,77,79,43,65
820,190799,78,61,77,73,72,76,74
825,189606,78,71,49,68,68,76,83
826,189506,78,64,63,79,72,79,68
827,189423,78,70,68,71,72,77,82
831,188879,78,72,54,64,67,76,86
834,188427,78,77,72,77,78,73,78
837,188103,78,73,75,76,78,42,72
838,187736,78,78,74,73,79,67,66
839,187702,78,74,71,77,78,54,72
841,187366,78,69,76,73,75,76,74
842,187052,78,75,60,74,73,74,78
843,186832,78,77,68,77,82,75,74
845,186581,78,76,71,81,82,48,66
849,184134,78,64,61,68,68,79,82
