,ID,overall,pac,sho,pas,dri,def,phy
10,155862,90,76,63,71,71,88,83
17,138956,89,74,46,56,59,90,85
24,184344,88,68,54,70,70,87,81
25,183907,88,75,50,72,67,88,84
26,182493,88,67,48,65,63,88,79
27,178603,88,64,58,75,71,89,76
30,164240,88,72,56,73,73,89,79
39,176676,87,78,69,80,86,83,79
44,152729,87,65,61,69,65,86,76
49,197445,86,86,73,81,80,82,74
51,191043,86,86,65,77,81,81,84
56,184087,86,66,58,72,65,87,80
57,179944,86,70,64,74,71,84,81
60,177610,86,50,60,69,65,86,80
62,172879,86,78,52,55,60,87,84
63,168609,86,71,49,60,67,88,77
67,120533,86,68,51,57,61,86,80
70,201535,85,83,45,61,64,84,79
81,190547,85,56,32,44,53,86,84
82,189332,85,93,69,75,82,81,72
84,184432,85,79,55,75,74,86,78
88,172871,85,67,65,73,70,85,81
91,164169,85,79,62,77,77,82,79
92,139720,85,63,54,65,64,84,83
93,137186,85,71,34,57,64,88,73
94,225508,84,78,42,59,65,84,84
97,212218,84,69,50,66,61,86,78
100,204963,84,82,45,73,79,83,79
103,201024,84,73,26,43,56,85,86
105,192774,84,80,19,42,60,86,83
106,192227,84,67,57,63,62,83,79
120,177509,84,74,42,54,64,85,82
122,165229,84,75,41,62,65,85,78
123,164468,84,63,58,52,61,84,78
124,146530,84,82,68,81,85,77,66
130,216460,83,70,45,51,52,84,81
134,212190,83,65,41,51,49,83,81
141,207865,83,71,38,68,69,84,76
143,205600,83,74,64,71,71,82,79
145,203376,83,73,60,67,69,83,85
147,200888,83,68,62,69,74,82,87
150,198176,83,68,41,58,65,85,76
152,197061,83,67,46,68,66,84,78
156,192366,83,63,56,59,54,83,81
162,188377,83,90,63,73,76,80,81
165,186547,83,70,51,67,58,84,78
166,185239,83,76,39,62,67,85,75
173,179784,83,64,47,63,64,83,77
180,173771,83,79,69,76,74,81,80
181,170481,83,43,64,66,64,84,80
182,167905,83,87,66,75,81,78,85
186,159147,83,68,65,69,67,86,80
190,142754,83,65,53,71,68,82,77
205,213331,82,72,27,58,58,82,78
213,207863,82,68,41,59,61,83,81
219,205452,82,74,40,64,63,82,79
221,204639,82,63,35,52,56,83,74
222,204525,82,71,56,63,61,82,79
224,203551,82,85,79,78,82,76,76
230,202335,82,72,63,71,65,81,85
231,201862,82,71,59,69,68,81,83
234,199845,82,62,50,58,58,85,77
241,193532,82,74,48,68,70,81,81
242,193469,82,58,42,64,60,83,81
246,190456,82,83,61,71,77,80,76
263,181786,82,58,51,67,66,82,83
265,179847,82,30,41,54,54,84,81
267,178372,82,62,61,68,61,82,83
270,177457,82,68,64,73,72,82,79
275,171919,82,69,69,63,61,84,73
277,169595,82,81,63,73,78,81,78
282,163824,82,65,43,56,61,81,81
283,163631,82,70,71,80,79,80,71
287,157481,82,57,41,57,59,84,76
290,146760,82,82,58,75,77,78,77
293,135507,82,73,73,76,78,77,78
295,108080,82,77,59,73,76,80,77
299,227928,81,92,57,68,80,76,71
303,220793,81,71,47,50,59,81,83
309,213661,81,72,31,62,69,84,72
310,212622,81,70,67,82,80,77,73
314,209889,81,77,75,81,84,74,63
317,207599,81,72,49,64,68,82,82
319,203747,81,95,51,69,78,75,70
322,202371,81,76,74,75,77,79,84
325,200724,81,76,37,65,63,81,78
327,199564,81,77,64,80,76,79,72
333,198141,81,77,52,70,73,82,71
334,197853,81,84,66,73,77,78,84
335,197655,81,58,40,53,60,81,86
338,195086,81,56,40,59,63,81,82
341,193352,81,74,67,80,76,77,72
343,192789,81,81,70,70,73,80,81
348,190149,81,86,62,73,78,74,79
349,189881,81,72,46,56,59,81,83
351,189251,81,71,67,80,80,74,67
355,188005,81,61,60,71,69,80,81
362,183285,81,61,33,62,56,80,85
363,183280,81,53,54,48,58,81,82
365,180216,81,73,66,72,78,80,77
366,179645,81,64,55,64,53,81,81
370,173198,81,68,36,53,60,84,77
374,166706,81,61,38,51,52,82,81
378,158625,81,45,52,67,63,82,74
381,142780,81,68,47,61,65,83,76
382,139997,81,73,75,85,75,78,74
387,53612,81,27,41,55,47,85,70
393,215792,80,63,35,51,59,81,75
397,212462,80,83,62,77,78,75,74
400,211320,80,61,39,53,64,83,75
404,210243,80,88,62,77,81,77,70
405,210035,80,86,60,72,82,75,72
407,208334,80,77,60,76,75,79,77
410,207993,80,78,53,61,64,78,89
417,205362,80,70,31,58,50,82,75
420,204082,80,74,39,57,63,81,77
421,203890,80,83,55,73,75,78,78
422,203888,80,34,36,48,49,82,83
426,201510,80,77,69,77,78,77,75
427,201454,80,80,64,72,75,76,78
438,195861,80,72,68,76,72,81,78
439,194957,80,61,56,65,62,80,80
442,194229,80,74,40,70,74,77,76
449,192641,80,76,57,69,67,79,80
452,191687,80,63,55,65,54,81,83
454,190815,80,60,56,79,76,80,76
460,189156,80,57,53,68,63,80,78
461,188802,80,80,51,69,66,79,79
469,184392,80,77,58,69,75,80,73
470,184190,80,54,34,58,47,80,76
473,182002,80,51,50,59,68,80,81
477,177604,80,76,53,72,75,80,74
478,177458,80,70,51,61,60,82,80
485,173521,80,68,45,59,59,81,78
486,173432,80,66,49,65,62,81,75
489,173208,80,77,61,75,72,78,79
493,169705,80,79,53,71,77,79,75
495,168530,80,60,42,52,51,81,82
496,167553,80,83,51,67,71,79,79
497,167514,80,76,67,71,76,80,76
498,165536,80,42,31,56,56,81,78
499,165526,80,51,33,42,54,83,82
507,156713,80,48,58,59,55,82,78
515,138412,80,67,74,82,77,76,78
517,124635,80,68,66,67,73,82,80
518,112316,80,72,62,67,60,81,83
520,53914,80,50,46,58,55,82,78
530,221660,79,70,48,62,61,79,79
532,220440,79,73,34,55,64,78,77
534,216150,79,82,66,70,75,75,76
535,215466,79,65,28,47,54,82,79
541,212602,79,61,40,62,61,80,72
543,212501,79,68,71,76,69,77,83
545,211688,79,86,58,75,77,75,68
548,211256,79,88,55,66,76,78,72
549,210864,79,81,51,66,73,77,75
550,210514,79,92,65,75,80,73,71
551,210413,79,66,34,52,63,81,76
558,205988,79,82,51,71,77,76,76
559,205923,79,76,56,72,74,78,76
564,205069,79,79,60,74,84,76,66
565,204638,79,54,34,52,58,79,78
567,204311,79,67,50,58,55,79,83
570,203574,79,71,35,67,71,80,77
573,201988,79,48,28,51,50,81,76
574,201956,79,65,48,62,66,78,81
577,201377,79,75,40,56,63,80,78
578,201305,79,67,49,65,63,81,76
580,201118,79,82,67,72,76,76,72
581,201049,79,74,31,44,59,82,75
583,201042,79,80,67,74,75,76,79
585,200458,79,80,61,75,75,75,75
593,199550,79,57,42,59,57,79,81
596,197948,79,49,57,59,60,78,85
597,195363,79,65,53,63,59,78,82
601,193171,79,84,59,71,74,76,72
602,192679,79,75,56,73,71,76,73
604,191210,79,77,65,75,76,77,72
610,190223,79,75,49,71,71,78,77
613,189433,79,55,31,51,59,82,73
620,187347,79,87,61,74,73,75,75
621,187324,79,69,47,54,54,79,79
625,185103,79,66,69,78,75,79,78
626,184949,79,82,64,75,75,73,75
628,184477,79,62,42,49,48,78,83
632,183855,79,70,40,58,60,81,76
636,180334,79,66,48,57,61,79,82
637,178424,79,80,69,74,75,76,74
639,177578,79,37,36,50,40,80,81
640,177519,79,66,41,64,66,79,69
641,177159,79,87,67,76,78,70,70
647,176285,79,69,52,49,50,80,81
648,176266,79,45,39,69,71,78,74
650,173306,79,80,59,75,79,76,76
652,172316,79,75,63,70,74,79,73
655,171791,79,43,35,52,60,79,77
658,169596,79,49,44,52,50,80,84
659,169588,79,65,32,59,52,80,74
663,166072,79,51,39,49,52,84,69
664,165501,79,38,60,70,65,79,69
665,165109,79,72,64,65,68,84,74
666,160741,79,80,56,61,52,79,77
671,148711,79,33,50,55,51,80,77
672,148122,79,52,39,67,46,82,75
679,142784,79,61,56,70,73,81,78
687,52091,79,69,51,71,75,79,72
696,227950,78,68,49,57,62,77,75
705,223033,78,68,30,51,53,80,71
707,222558,78,87,63,72,74,73,78
710,221540,78,50,55,56,56,77,83
717,216778,78,72,52,51,64,78,82
721,216189,78,86,63,69,76,72,84
726,215051,78,66,51,50,63,78,79
731,212977,78,77,54,66,67,79,77
738,210679,78,68,35,50,61,79,79
740,210282,78,91,67,71,80,73,75
741,209997,78,57,27,61,64,79,75
750,207862,78,64,59,71,64,78,75
752,206591,78,84,62,75,84,72,70
754,206222,78,72,52,60,55,78,76
755,206198,78,62,30,64,52,79,77
760,204884,78,82,48,70,75,74,79
768,203605,78,81,58,72,74,73,78
772,202849,78,46,49,59,49,79,81
777,201505,78,60,66,66,66,78,81
781,201143,78,68,46,73,69,78,72
782,201119,78,82,66,71,74,74,76
792,199304,78,78,70,71,74,76,79
796,198614,78,53,45,59,46,79,70
797,198584,78,69,56,52,63,76,88
809,193601,78,47,51,46,53,78,75
816,192620,78,46,51,73,52,79,69
817,192557,78,77,55,77,75,74,71
818,192476,78,31,48,67,61,79,67
821,190531,78,70,42,55,51,78,85
822,190507,78,52,35,48,56,78,81
823,189682,78,66,37,58,65,77,82
824,189681,78,81,59,72,78,75,78
826,189506,78,64,63,79,72,79,68
831,188879,78,72,54,64,67,76,86
832,188840,78,77,50,72,73,74,79
833,188829,78,70,44,65,68,77,74
834,188427,78,77,72,77,78,73,78
836,188135,78,79,67,70,74,74,76
843,186832,78,77,68,77,82,75,74
846,186345,78,77,56,77,75,76,75
848,186115,78,79,55,70,74,77,72
851,183568,78,60,29,48,43,80,75
857,182862,78,73,62,71,76,76,75
859,182744,78,80,67,70,74,76,82
860,181262,78,63,52,58,64,78,79
865,178322,78,78,72,75,75,74,71
868,178031,78,65,46,66,64,78,80
870,177983,78,66,32,46,56,81,79
886,164082,78,75,71,77,81,75,72
893,183556,77,59,45,50,44,80,76
899,192012,77,65,45,62,70,78,68
900,146701,77,38,61,63,58,77,83
907,146963,77,70,50,66,68,75,77
908,205590,77,72,50,66,66,78,76
909,210455,77,77,42,64,69,77,76
915,45595,77,34,38,52,46,80,68
916,205340,77,70,28,49,52,78,73
917,229148,77,91,62,71,78,72,72
918,109852,77,33,43,50,42,79,76
922,139038,77,61,29,46,47,79,73
926,198688,77,66,45,61,56,76,85
930,172835,77,56,28,40,53,80,71
931,200228,77,37,33,48,45,78,81
932,212772,77,65,31,52,53,78,72
936,230183,77,82,67,71,71,75,86
938,160040,77,80,71,71,76,72,74
939,230184,77,87,58,68,76,71,54
940,226601,77,68,31,36,45,79,76
942,144429,77,78,63,76,74,74,70
943,219693,77,70,44,54,63,76,78
946,200752,77,79,33,53,60,77,83
947,207920,77,83,53,65,68,73,72
949,189234,77,80,77,74,76,67,67
950,204341,77,58,37,59,53,80,69
952,198198,77,68,48,53,57,76,76
954,175671,77,33,45,60,58,79,77
955,198200,77,65,56,66,70,76,77
958,181816,77,74,48,69,68,76,72
959,225850,77,69,35,51,64,78,75
964,150590,77,71,64,76,73,76,73
968,172610,77,63,33,47,57,78,71
972,204614,77,86,49,70,74,72,69
973,193862,77,50,45,54,49,79,80
982,179789,77,57,31,53,54,78,73
986,192333,77,60,44,60,60,77,77
987,193869,77,61,40,62,54,77,80
989,216655,77,72,37,50,60,78,74
992,190034,77,71,35,63,64,76,80
995,194644,77,83,61,69,72,75,71
1004,207707,77,80,60,70,75,72,72
1006,5213,77,65,40,41,56,82,70
1008,216158,77,81,63,73,76,71,78
1010,205408,77,69,36,57,62,78,73
1011,182882,77,67,58,70,70,74,84
1016,148839,77,69,51,70,72,76,72
1018,182888,77,53,53,71,66,77,79
1021,181098,77,63,51,75,70,76,72
1025,182896,77,77,59,71,79,71,72
1030,216437,77,69,28,44,48,78,76
1035,205943,77,68,64,56,62,79,73
1039,219258,77,51,42,46,55,77,84
1040,225402,77,84,61,69,78,72,73
1045,201342,77,60,33,62,62,77,77
1047,53630,77,65,61,67,64,72,92
1053,183427,77,74,69,73,82,68,75
1054,208004,77,66,49,66,69,79,79
1055,189060,77,72,51,61,65,78,76
1058,180359,77,70,53,73,77,76,65
1060,205705,77,55,49,58,57,78,76
1061,225161,77,73,41,56,62,79,70
1063,146059,77,56,45,64,58,76,78
1067,220814,77,65,42,53,56,78,70
1070,177553,77,75,73,74,82,64,62
1072,216466,77,86,48,72,78,71,72
1074,215699,77,76,38,64,74,76,69
1078,229270,77,70,54,57,70,78,74
1083,199577,77,43,41,65,62,78,73
1084,194201,77,62,42,52,61,77,81
1085,148123,77,46,47,63,48,78,76
1087,169115,77,64,37,55,58,79,72
1089,192667,77,75,47,63,67,78,83
1090,112542,77,34,61,62,50,81,70
1091,183966,77,67,53,68,64,78,72
1095,158626,77,69,65,73,73,77,73
1098,13732,77,34,47,57,50,79,73
1102,171688,77,75,65,72,76,76,69
1105,159914,77,82,67,71,71,75,86
1106,205995,77,79,62,78,78,73,75
1108,159915,77,87,58,68,76,71,54
1111,210862,77,55,32,46,51,78,72
1112,136113,77,37,30,41,57,77,82
1113,207537,77,89,60,68,76,72,81
1114,163761,77,64,38,48,54,77,76
1115,186801,77,74,65,61,69,77,88
1116,193714,77,53,40,61,54,76,78
1117,184501,77,74,69,67,65,78,79
1118,202935,77,70,30,54,57,76,76
1120,198076,77,63,55,56,53,77,82
1122,196801,77,66,48,59,64,77,77
1124,201922,77,68,61,64,59,77,81
1128,216774,77,66,47,59,59,78,74
1132,216266,77,77,40,60,66,79,79
1134,192202,77,63,78,81,79,66,71
1138,187598,77,58,46,53,60,78,70
1139,189390,77,71,59,71,72,76,77
1141,198352,77,61,40,56,52,80,74
1144,209620,77,82,50,67,76,74,73
1148,230360,77,80,71,71,76,72,74
1150,183512,77,78,56,64,70,76,81
1151,202201,77,73,59,64,63,78,74
1152,203485,77,78,43,64,67,78,76
1156,182495,77,74,51,63,64,79,75
1158,157665,77,45,40,52,49,78,77
1160,204259,77,84,45,65,75,73,72
1164,152554,77,79,43,65,73,75,68
1170,172018,77,60,37,61,50,77,79
1171,199667,77,68,49,61,65,76,78
1172,193011,77,56,27,52,60,77,77
1173,183284,77,66,56,67,62,75,79
1176,188155,77,74,63,70,74,74,81
1185,203263,77,46,37,56,61,77,82
1194,236295,76,68,33,61,71,78,64
1197,139274,76,40,27,39,52,79,76
1202,189709,76,44,48,59,53,77,80
1206,177937,76,63,34,51,63,75,80
1208,45842,76,48,43,54,50,75,82
1210,204307,76,73,48,67,76,74,68
1213,207894,76,61,49,64,59,77,79
1215,214040,76,88,54,58,76,70,82
1218,210972,76,76,45,65,71,73,72
1220,148253,76,89,59,68,67,72,67
1226,160033,76,79,53,70,74,75,73
1227,195361,76,72,53,69,71,73,74
1231,190756,76,51,42,53,57,75,79
1234,184873,76,58,32,58,51,76,80
1236,224811,76,70,53,52,48,77,81
1237,189484,76,76,58,70,72,74,74
1246,210736,76,79,59,66,77,68,62
1247,186672,76,63,56,67,68,78,77
1248,197937,76,70,47,52,50,75,81
1249,139313,76,62,69,77,71,76,77
1252,160051,76,61,39,52,54,76,83
1258,160310,76,66,51,63,66,78,81
1261,181560,76,68,35,52,62,75,78
1262,190520,76,64,41,64,67,81,74
1268,220477,76,62,32,40,49,78,72
1269,135742,76,59,34,61,55,75,78
1271,172862,76,65,49,67,69,76,74
1273,199487,76,43,37,60,58,74,82
1279,202562,76,86,62,71,75,72,77
1282,230212,76,57,48,58,49,76,78
1285,181318,76,54,66,75,75,64,77
1286,177481,76,81,49,68,66,74,78
1291,185163,76,62,44,46,53,77,77
1292,202316,76,77,60,69,69,74,81
1301,232270,76,84,62,66,66,74,77
1305,163407,76,53,53,65,64,76,76
1306,170320,76,73,57,66,71,75,76
1313,183892,76,75,54,64,59,75,81
1316,230230,76,58,50,61,49,75,79
1320,186456,76,44,57,74,70,77,72
1322,183129,76,62,52,55,57,77,76
1327,189018,76,87,51,67,74,71,80
1328,19292,76,31,47,53,43,77,80
1333,171875,76,80,74,77,80,69,76
1343,161644,76,71,46,57,55,75,75
1351,190576,76,53,32,57,43,77,80
1355,171378,76,84,64,69,69,73,75
1357,189043,76,85,60,71,74,72,70
1360,177525,76,78,66,73,79,52,72
1367,215930,76,72,51,58,64,76,77
1368,192122,76,75,52,67,69,76,70
1369,177019,76,61,37,61,65,80,71
1379,183937,76,79,64,71,75,73,75
1381,164994,76,76,70,74,77,58,70
1382,178051,76,59,52,68,66,73,81
1383,194947,76,33,46,56,46,77,81
1384,201860,76,59,37,50,47,77,77
1385,202884,76,82,63,71,79,65,77
1387,190854,76,74,39,66,74,73,69
1390,208520,76,76,48,65,65,75,77
1392,192904,76,58,27,61,59,75,79
1393,168585,76,38,57,57,54,78,77
1396,213899,76,70,40,58,66,75,80
1398,215181,76,84,50,64,70,74,74
1409,173204,76,75,58,69,72,76,75
1410,190868,76,68,50,70,69,76,76
1411,199829,76,52,61,74,66,71,78
1417,182168,76,43,32,57,58,78,75
1418,187800,76,77,59,75,77,71,73
1419,212889,76,58,36,51,66,76,76
1421,186521,76,54,44,59,49,75,77
1423,194203,76,70,38,59,65,77,77
1424,201884,76,81,71,75,76,65,69
1426,182941,76,65,52,53,56,74,79
1427,193440,76,70,49,61,65,76,79
1428,152993,76,46,55,53,42,76,80
1429,182179,76,66,31,37,47,77,83
1432,223142,76,71,45,45,59,75,79
1433,208295,76,67,54,66,69,75,74
1438,214955,76,79,62,67,72,74,80
1440,226221,76,71,33,56,59,78,72
1444,194222,76,63,40,53,46,76,82
1446,189615,76,76,59,72,76,73,68
1447,185010,76,53,45,61,57,75,82
1453,198581,76,70,39,55,51,77,78
1454,171189,76,37,41,57,52,77,78
1458,182713,76,43,27,52,44,78,74
1461,205756,76,55,57,64,64,75,75
1463,193470,76,74,47,73,73,76,69
1466,231361,76,66,33,46,57,77,79
1467,137410,76,42,39,49,54,79,70
1468,159938,76,57,48,58,49,76,78
1473,202695,76,64,43,61,64,75,79
1478,135883,76,65,43,69,67,76,76
1479,230347,76,79,53,70,74,75,73
1480,162508,76,54,51,56,51,79,73
1482,203213,76,56,40,48,54,76,79
1486,159952,76,58,50,61,49,75,79
1487,199633,76,75,60,69,73,74,77
1489,210897,76,74,54,53,66,75,80
1490,231633,76,63,31,50,48,77,81
1492,201939,76,75,37,65,72,76,75
1494,192725,76,76,38,67,65,75,78
1502,7647,76,32,33,44,50,80,65
1504,199393,76,59,50,60,58,75,83
1506,228579,76,79,53,71,76,74,68
1510,194022,76,65,52,72,74,76,77
1511,208615,76,69,45,46,56,75,80
1512,175847,76,77,61,64,76,74,71
1515,206058,76,79,45,68,74,74,72
1516,219626,76,92,54,63,74,70,63
1518,230379,76,61,39,52,54,76,83
1519,235243,76,65,55,63,67,75,79
1522,214766,76,49,48,48,46,76,77
1524,188654,76,65,43,49,56,78,73
1527,179696,76,65,64,73,73,76,79
1530,225523,76,83,64,73,76,69,74
1541,172283,76,61,51,71,66,77,67
1543,187132,76,63,49,58,67,75,78
1545,202493,76,91,67,72,81,69,70
1546,217085,76,84,40,60,75,71,71
1547,205566,76,88,65,68,78,68,74
1548,220414,76,76,56,69,67,74,78
1550,192766,76,58,43,65,66,76,72
1552,768,75,43,35,51,52,79,66
1554,212225,75,49,41,54,58,75,77
1555,197890,75,54,36,56,56,75,75
1558,209669,75,39,44,55,62,76,83
1560,189701,75,36,59,64,57,75,77
1561,172294,75,34,40,53,47,77,77
1562,219911,75,60,29,48,35,76,73
1567,212491,75,86,66,70,78,70,73
1568,163083,75,36,38,57,56,77,76
1579,184082,75,59,38,53,53,74,82
1580,186130,75,70,34,58,63,75,74
1584,212245,75,69,69,75,74,70,75
1585,223765,75,72,51,65,70,75,77
1587,203030,75,57,41,51,50,77,71
1588,188182,75,70,46,62,60,74,78
1590,208920,75,76,49,67,66,75,74
1591,191256,75,71,57,53,56,74,82
1593,215322,75,81,60,68,73,71,73
1595,160027,75,85,63,75,77,68,72
1603,186912,75,71,60,72,70,73,76
1604,219681,75,79,68,68,73,72,69
1607,198946,75,75,57,65,71,75,73
1608,160034,75,82,53,67,72,73,70
1612,221219,75,70,36,46,44,78,73
1615,198949,75,84,63,69,77,71,76
1618,190502,75,67,69,75,71,72,73
1619,193062,75,78,65,67,73,71,80
1623,223017,75,82,65,71,76,66,66
1631,230189,75,79,56,70,69,73,66
1633,176687,75,71,46,70,74,75,71
1635,160048,75,82,54,71,73,72,65
1637,204338,75,63,41,56,62,77,75
1639,234035,75,82,47,63,66,73,67
1641,159028,75,48,47,56,55,76,72
1642,160052,75,77,63,69,68,76,71
1644,230197,75,74,48,69,75,74,69
1645,200758,75,71,31,62,65,74,79
1646,137782,75,71,63,72,76,73,72
1648,171830,75,41,39,34,45,78,75
1650,183606,75,69,31,47,45,74,84
1653,198202,75,47,39,52,40,76,77
1654,160058,75,64,40,54,51,74,78
1656,178746,75,59,36,64,63,78,74
1660,216380,75,82,59,74,78,68,65
1661,212541,75,84,63,69,72,72,70
1662,225341,75,62,36,60,64,73,76
1673,201025,75,71,59,60,64,77,77
1676,216643,75,68,58,72,74,74,65
1681,202054,75,54,38,48,51,79,69
1682,211014,75,85,49,66,77,71,69
1683,154950,75,75,69,75,77,71,71
1684,192838,75,78,61,67,71,71,81
1685,206407,75,75,59,71,76,73,66
1686,207431,75,58,36,56,53,76,73
