,ID,overall,pac,sho,pas,dri,def,phy
39,176676,87,78,69,80,86,83,79
49,197445,86,86,73,81,80,82,74
51,191043,86,86,65,77,81,81,84
82,189332,85,93,69,75,82,81,72
84,184432,85,79,55,75,74,86,78
91,164169,85,79,62,77,77,82,79
100,204963,84,82,45,73,79,83,79
124,146530,84,82,68,81,85,77,66
162,188377,83,90,63,73,76,80,81
180,173771,83,79,69,76,74,81,80
182,167905,83,87,66,75,81,78,85
219,205452,82,74,40,64,63,82,79
224,203551,82,85,79,78,82,76,76
231,201862,82,71,59,69,68,81,83
246,190456,82,83,61,71,77,80,76
267,178372,82,62,61,68,61,82,83
270,177457,82,68,64,73,72,82,79
277,169595,82,81,63,73,78,81,78
283,163631,82,70,71,80,79,80,71
290,146760,82,82,58,75,77,78,77
293,135507,82,73,73,76,78,77,78
295,108080,82,77,59,73,76,80,77
299,227928,81,92,57,68,80,76,71
310,212622,81,70,67,82,80,77,73
314,209889,81,77,75,81,84,74,63
319,203747,81,95,51,69,78,75,70
322,202371,81,76,74,75,77,79,84
325,200724,81,76,37,65,63,81,78
327,199564,81,77,64,80,76,79,72
334,197853,81,84,66,73,77,78,84
341,193352,81,74,67,80,76,77,72
343,192789,81,81,70,70,73,80,81
348,190149,81,86,62,73,78,74,79
351,189251,81,71,67,80,80,74,67
365,180216,81,73,66,72,78,80,77
382,139997,81,73,75,85,75,78,74
397,212462,80,83,62,77,78,75,74
404,210243,80,88,62,77,81,77,70
405,210035,80,86,60,72,82,75,72
407,208334,80,77,60,76,75,79,77
410,207993,80,78,53,61,64,78,89
421,203890,80,83,55,73,75,78,78
426,201510,80,77,69,77,78,77,75
427,201454,80,80,64,72,75,76,78
442,194229,80,74,40,70,74,77,76
454,190815,80,60,56,79,76,80,76
461,188802,80,80,51,69,66,79,79
469,184392,80,77,58,69,75,80,73
477,177604,80,76,53,72,75,80,74
486,173432,80,66,49,65,62,81,75
489,173208,80,77,61,75,72,78,79
493,169705,80,79,53,71,77,79,75
496,167553,80,83,51,67,71,79,79
497,167514,80,76,67,71,76,80,76
515,138412,80,67,74,82,77,76,78
518,112316,80,72,62,67,60,81,83
534,216150,79,82,66,70,75,75,76
545,211688,79,86,58,75,77,75,68
548,211256,79,88,55,66,76,78,72
549,210864,79,81,51,66,73,77,75
550,210514,79,92,65,75,80,73,71
558,205988,79,82,51,71,77,76,76
559,205923,79,76,56,72,74,78,76
564,205069,79,79,60,74,84,76,66
567,204311,79,67,50,58,55,79,83
580,201118,79,82,67,72,76,76,72
583,201042,79,80,67,74,75,76,79
585,200458,79,80,61,75,75,75,75
