,ID,overall,pac,sho,pas,dri,def,phy
0,20801,94,90,93,82,90,33,80
1,158023,93,89,90,86,96,26,61
2,190871,92,92,84,79,95,30,60
7,183277,90,90,82,84,92,32,66
11,192985,89,75,84,88,85,45,75
13,184941,89,86,84,80,89,40,78
15,173731,89,94,87,84,85,57,76
21,194765,88,86,85,78,87,30,68
28,176635,88,71,74,87,86,24,58
32,9014,88,86,86,81,91,32,63
36,190460,87,75,78,88,84,47,63
42,168542,87,68,72,87,87,38,61
45,41,87,71,70,87,90,58,58
47,198710,86,76,85,85,83,40,68
48,197781,86,71,83,82,89,54,62
51,191043,86,86,65,77,81,81,84
52,189596,86,77,82,77,78,46,71
54,189242,86,82,78,83,88,35,64
55,188350,86,88,87,84,86,39,64
61,175943,86,90,82,79,89,36,55
66,156616,86,82,76,83,90,25,58
69,208418,85,88,79,78,88,29,63
73,198219,85,90,74,82,89,25,50
74,193747,85,72,75,86,82,65,76
77,192883,85,86,79,80,87,54,70
85,183898,85,86,77,82,86,47,68
95,220834,84,82,82,83,83,39,61
96,218667,84,81,72,81,90,45,61
98,211117,84,76,81,77,82,64,78
99,208722,84,93,78,75,85,36,75
101,202166,84,78,80,82,86,34,64
110,189505,84,82,77,77,85,37,62
113,181458,84,84,80,78,82,42,75
115,180403,84,88,76,81,86,49,64
119,178088,84,67,76,84,84,32,55
125,143076,84,90,77,80,89,31,58
128,231443,83,91,76,75,89,33,56
132,213565,83,85,78,80,86,62,70
138,209331,83,93,73,74,87,45,66
140,208448,83,75,74,83,83,30,66
144,204485,83,82,74,78,88,28,55
148,199715,83,80,77,79,83,28,76
154,192629,83,81,83,73,85,29,63
157,191180,83,71,75,83,85,58,64
160,189125,83,78,77,82,83,67,73
167,185020,83,90,78,71,83,35,65
170,184144,83,81,74,81,85,39,55
171,181783,83,72,78,71,74,65,87
177,177388,83,74,78,85,87,37,69
192,139068,83,81,79,81,86,24,64
195,20775,83,83,76,81,88,18,60
199,222492,82,94,77,72,86,35,70
204,215785,82,92,76,72,86,29,70
206,212404,82,84,76,77,86,34,65
208,211575,82,68,71,78,78,71,81
209,211300,82,90,79,71,86,41,74
210,208808,82,89,81,76,83,29,67
211,208618,82,83,73,81,82,43,67
212,208421,82,73,69,78,81,77,75
220,204970,82,82,76,78,84,36,63
224,203551,82,85,79,78,82,76,76
226,202857,82,92,77,74,85,33,68
227,202652,82,93,71,74,85,46,61
228,202651,82,82,75,81,87,23,51
229,202477,82,93,70,75,88,26,61
232,200949,82,93,74,75,86,45,62
233,200104,82,86,83,75,83,25,66
236,198164,82,81,75,81,86,53,68
237,197965,82,79,77,81,83,61,69
239,194794,82,81,78,81,83,37,78
243,193348,82,83,77,78,85,46,65
244,193082,82,91,74,75,87,61,65
245,190483,82,92,77,77,85,32,64
249,188803,82,92,79,75,86,47,63
250,187754,82,83,76,78,87,48,66
253,186561,82,68,75,79,81,65,75
255,184484,82,66,81,84,79,52,70
256,184267,82,80,73,77,89,33,56
257,184200,82,77,74,79,81,53,81
278,169416,82,84,79,77,82,25,66
280,167431,82,71,72,83,81,72,68
281,165239,82,78,76,81,84,38,59
292,143745,82,71,73,81,84,61,72
295,108080,82,77,59,73,76,80,77
297,231677,81,92,77,73,83,38,74
300,227055,81,94,70,73,86,44,60
301,222737,81,83,76,78,84,26,63
305,216354,81,73,81,70,84,26,71
307,216201,81,93,78,73,79,34,79
311,211368,81,93,71,73,86,34,65
312,210935,81,85,80,76,84,30,72
314,209889,81,77,75,81,84,74,63
322,202371,81,76,74,75,77,79,84
323,201995,81,92,75,77,86,53,62
324,201400,81,74,77,79,85,62,64
329,199354,81,81,82,76,80,31,71
330,199189,81,77,73,77,82,55,77
331,198951,81,87,78,72,80,35,74
332,198717,81,90,71,71,86,33,72
339,193738,81,75,77,79,84,56,70
340,193525,81,84,62,73,76,80,77
342,193165,81,83,72,74,88,40,51
344,192638,81,77,69,77,77,77,80
351,189251,81,71,67,80,80,74,67
352,188988,81,82,71,78,86,28,55
359,183900,81,81,71,78,85,32,59
368,177326,81,80,75,79,83,29,49
371,172175,81,83,77,77,83,46,65
394,214997,80,82,80,66,86,49,59
398,212194,80,81,73,76,84,26,61
402,210617,80,86,67,79,82,37,48
404,210243,80,88,62,77,81,77,70
409,208093,80,82,78,65,76,45,65
410,207993,80,78,53,61,64,78,89
413,206467,80,82,80,75,77,41,76
415,206273,80,88,73,76,82,47,68
416,205976,80,79,77,69,80,28,64
418,205192,80,79,74,81,84,51,58
424,203486,80,81,79,80,85,37,64
429,200610,80,77,81,78,79,39,82
432,199434,80,70,67,80,83,37,63
434,198950,80,76,73,80,83,30,53
