,ID,overall,international_reputation,skill_moves,weak_foot,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle
0,20801,94,100,100,80,85,94,88,83,88,91,81,76,77,93,89,91,89,96,63,94,95,92,80,92,63,29,95,85,85,95,22,31,23
1,158023,93,100,80,80,77,95,71,88,85,97,89,90,87,95,92,87,90,95,95,85,68,73,59,88,48,22,93,90,78,96,13,28,26
3,176580,92,100,80,80,77,94,77,83,88,86,86,84,64,91,88,77,86,93,60,87,69,89,80,86,78,41,92,84,85,83,30,45,38
5,188545,91,80,60,80,62,91,85,83,87,85,77,84,65,89,79,83,78,91,80,88,84,79,84,83,80,39,91,78,84,87,25,42,19
9,167664,90,80,60,80,68,91,86,75,88,84,74,62,59,85,78,80,75,88,69,88,79,72,85,82,50,20,92,70,70,86,12,22,18
13,184941,89,80,80,60,80,85,70,81,83,90,78,78,73,87,88,84,90,87,87,84,85,85,72,82,80,42,86,83,77,86,30,39,35
15,173731,89,80,80,60,87,87,86,85,76,87,86,85,80,86,93,95,77,87,65,91,85,76,80,90,65,59,86,79,76,85,51,55,52
16,153079,89,80,80,80,70,90,68,79,85,89,82,72,63,89,90,84,86,89,91,88,80,74,74,83,63,24,91,83,83,90,13,20,12
19,211110,88,60,80,60,80,85,68,83,88,92,88,84,71,93,88,84,91,84,85,82,75,83,65,88,48,24,84,84,86,84,14,20,20
21,194765,88,80,80,60,82,88,80,79,87,87,84,75,75,86,87,86,90,90,80,81,87,76,61,82,69,35,91,76,71,86,23,22,11
23,188567,88,60,60,80,77,88,79,77,86,82,78,74,64,82,95,96,77,87,70,81,77,79,77,79,43,48,89,77,74,84,28,25,36
28,176635,88,80,80,40,82,74,54,89,77,86,84,79,84,90,75,68,83,87,70,70,52,69,57,76,48,24,83,92,67,78,22,16,19
31,41236,88,100,80,80,76,87,80,84,90,82,82,82,76,88,63,67,81,86,41,91,69,71,88,85,84,20,86,83,91,91,15,41,27
32,9014,88,80,80,40,80,85,51,84,86,92,87,81,71,89,87,86,89,87,91,87,61,68,67,88,47,39,85,83,80,86,29,26,26
38,179813,87,80,60,60,70,83,88,78,84,80,75,74,50,80,75,78,81,90,59,85,88,92,74,78,84,48,92,77,84,83,24,45,27
46,202126,86,60,60,80,70,90,83,75,73,78,71,66,67,82,70,75,73,87,62,87,70,85,86,84,74,35,89,75,86,84,41,36,38
50,192505,86,60,60,80,68,89,87,71,76,78,72,66,68,75,76,89,62,85,47,88,71,80,93,75,72,27,87,73,82,84,27,30,30
52,189596,86,80,60,80,77,87,82,81,83,75,81,59,68,82,76,78,76,92,72,77,81,90,67,77,57,58,93,81,60,83,31,41,44
55,188350,86,80,80,80,80,86,49,86,88,86,90,84,80,85,86,90,86,87,81,87,72,68,67,88,49,50,86,86,87,83,30,36,46
58,179844,86,80,60,80,65,88,83,67,81,77,62,59,52,83,74,75,58,86,52,84,64,83,91,73,93,40,88,74,76,84,28,39,34
61,175943,86,60,80,80,77,85,35,81,70,89,81,77,74,88,93,87,94,85,92,80,60,75,42,81,59,36,85,82,78,81,30,40,40
64,165153,86,80,80,80,75,84,78,86,79,82,79,73,55,86,77,78,77,83,60,83,70,73,78,77,65,22,87,85,82,79,13,15,12
71,201153,85,60,60,80,73,84,83,78,81,83,76,44,51,84,79,87,65,81,60,80,79,73,82,76,56,24,85,76,70,80,14,14,20
75,193301,85,60,80,60,64,87,72,79,82,85,74,71,59,84,84,87,87,85,84,81,76,80,79,76,70,40,87,74,84,86,23,42,30
77,192883,85,60,80,100,79,77,53,84,81,87,83,64,72,87,88,84,89,82,85,87,71,86,63,75,69,64,82,85,72,79,49,53,55
85,183898,85,80,100,40,85,74,53,83,77,86,78,72,79,85,86,86,92,80,79,83,72,78,60,77,73,38,82,81,73,82,37,59,56
95,220834,84,60,80,60,79,82,50,86,75,83,83,76,81,86,83,82,78,78,76,84,57,73,61,87,45,45,72,83,62,82,29,42,39
98,211117,84,60,80,60,68,84,75,83,76,83,71,53,76,85,77,76,74,85,62,77,69,89,71,79,84,67,86,83,68,86,60,63,57
99,208722,84,60,80,60,72,83,53,77,68,86,74,64,71,84,94,92,89,80,85,77,75,82,72,69,73,31,84,78,71,78,33,35,38
102,201399,84,60,60,80,46,89,84,73,81,74,58,45,54,77,75,80,74,83,76,81,92,70,74,70,55,22,89,64,78,82,17,21,21
110,189505,84,60,80,100,78,81,55,83,70,84,81,57,70,87,84,80,84,84,82,71,67,78,56,78,56,49,84,77,66,78,30,32,31
114,180930,84,60,40,80,63,87,84,77,77,76,65,54,72,80,67,61,57,83,36,86,66,70,82,73,51,50,89,70,67,79,11,28,16
115,180403,84,60,80,80,77,77,29,82,59,87,82,85,77,86,91,86,89,83,81,71,46,87,62,81,44,55,80,83,70,79,43,58,51
121,167397,84,60,60,80,55,87,90,78,84,74,83,71,58,82,73,66,85,84,75,79,92,68,75,80,75,41,87,68,84,87,16,42,19
125,143076,84,60,80,80,82,78,36,82,72,89,78,71,72,87,94,86,92,83,94,76,70,78,48,78,56,40,81,85,71,84,24,30,34
126,106231,84,60,60,60,54,85,94,73,84,79,61,54,52,82,69,70,53,85,57,83,94,64,85,80,82,23,86,73,75,87,46,44,49
127,231747,83,60,80,80,70,87,76,78,74,86,75,58,68,87,89,90,78,79,76,79,71,83,74,68,62,49,79,77,70,80,41,44,40
128,231443,83,60,100,100,77,77,43,74,76,92,78,65,68,85,93,89,90,82,85,82,59,74,47,65,54,36,78,84,75,73,29,30,33
138,209331,83,60,80,40,73,79,59,79,71,87,70,60,65,87,93,93,86,82,84,71,70,77,61,62,63,55,83,78,61,75,37,43,41
139,208596,83,60,60,100,42,88,84,68,80,78,64,56,42,78,80,83,79,78,75,81,83,84,85,67,83,31,85,61,77,78,15,23,32
146,201942,83,60,80,80,72,83,72,83,79,87,80,67,75,85,77,77,82,82,81,79,81,86,76,80,66,37,84,83,72,78,30,59,42
154,192629,83,40,60,60,67,86,78,80,86,85,83,76,64,84,84,79,88,86,77,79,68,70,59,80,63,36,85,68,80,73,20,21,18
155,192387,83,60,60,80,55,86,75,70,86,79,70,51,49,80,81,85,77,85,63,86,77,77,74,76,77,40,86,62,78,81,31,33,32
157,191180,83,60,80,80,77,73,63,87,78,88,83,69,83,87,69,72,79,83,58,78,49,67,64,76,65,69,78,86,75,79,49,59,51
159,189358,83,60,80,80,60,76,42,84,75,87,74,63,73,85,76,65,92,81,88,56,66,80,39,55,30,56,80,82,78,81,30,24,27
161,189068,83,60,40,60,38,87,93,74,85,64,62,32,37,73,54,64,38,85,35,83,55,84,89,74,72,39,88,68,81,78,29,48,26
167,185020,83,60,60,40,77,76,65,75,84,82,65,65,51,84,90,90,85,80,81,78,73,92,55,80,54,40,88,78,62,79,24,32,32
169,184431,83,40,80,80,73,83,34,79,75,86,86,89,75,87,88,81,92,82,93,79,34,77,42,81,75,26,84,82,77,88,23,29,28
171,181783,83,60,60,60,72,84,90,75,86,74,64,49,65,77,68,76,67,86,53,78,85,87,87,58,88,66,89,74,76,80,56,64,64
179,176769,83,60,60,100,70,87,79,74,85,84,85,77,70,88,66,65,77,85,69,83,69,71,63,84,61,34,86,83,84,87,23,36,25
185,161956,83,60,80,80,78,67,60,89,70,86,78,76,86,88,73,67,80,84,82,72,67,74,66,70,52,70,76,86,72,80,58,66,62
192,139068,83,60,100,100,82,75,46,81,75,87,86,79,79,86,84,78,92,80,77,85,39,74,62,83,62,31,77,80,72,79,15,22,20
199,222492,82,40,60,60,76,78,72,75,64,87,82,62,64,84,93,94,89,79,82,78,66,80,70,77,58,32,82,69,63,76,26,32,35
202,216594,82,60,80,60,76,78,49,80,75,88,80,73,72,88,79,80,84,76,91,84,69,74,78,76,71,28,79,78,72,85,24,33,30
204,215785,82,40,80,80,75,79,58,76,68,87,70,52,64,89,93,92,82,76,77,78,66,73,76,74,54,31,78,73,58,79,17,29,28
206,212404,82,40,80,60,77,73,48,80,70,86,79,80,70,87,84,84,85,80,79,80,49,83,63,82,52,34,80,78,72,83,28,36,32
207,212188,82,60,60,80,69,86,74,76,81,81,62,42,55,82,93,92,79,84,76,74,77,78,59,67,63,37,85,57,68,70,17,20,19
209,211300,82,60,80,60,74,81,70,75,74,88,81,54,58,84,92,89,85,81,82,84,80,79,76,70,59,42,80,72,81,79,35,39,36
210,208808,82,40,80,80,75,82,60,76,68,83,75,76,69,82,86,91,87,81,78,82,82,81,61,83,60,27,79,81,72,78,25,24,27
211,208618,82,40,60,80,85,73,52,81,54,82,82,75,75,83,85,82,81,85,78,77,67,90,57,78,65,44,81,82,56,72,31,50,44
214,207664,82,60,60,40,60,87,76,72,80,79,72,58,50,81,76,78,76,80,77,76,77,67,74,60,62,34,87,66,80,80,12,16,14
215,207471,82,40,60,60,73,75,68,85,81,86,82,68,76,88,62,66,73,81,48,76,49,72,79,83,80,54,74,85,67,83,33,40,37
220,204970,82,40,80,60,82,74,69,81,67,86,80,54,75,83,88,77,81,83,71,82,64,71,62,81,56,43,80,78,57,80,29,29,31
224,203551,82,60,60,60,77,76,70,82,87,79,73,79,75,84,86,84,87,79,84,82,74,90,68,82,79,77,82,75,76,79,73,79,78
227,202652,82,60,80,60,73,73,38,81,59,85,64,49,67,84,94,92,91,79,92,68,60,75,64,70,34,26,81,75,63,74,48,58,54
228,202651,82,60,80,60,81,70,50,83,72,87,84,80,75,89,84,80,86,78,86,78,50,77,50,82,23,20,76,82,72,76,19,23,18
229,202477,82,60,80,80,76,70,40,79,68,89,84,78,62,87,93,93,93,78,79,72,72,78,59,65,40,25,78,74,78,76,20,30,22
232,200949,82,60,80,60,75,72,50,77,70,88,69,74,74,82,95,92,94,75,87,79,71,68,56,71,67,50,78,73,75,79,39,43,51
233,200104,82,60,80,100,75,83,65,78,73,85,81,70,64,82,87,86,79,81,77,83,65,80,62,86,60,29,83,78,71,78,17,19,23
238,195093,82,40,60,80,54,84,84,79,80,79,68,71,48,80,65,68,60,81,50,83,72,67,87,76,65,35,85,63,80,73,29,32,30
239,194794,82,40,100,40,82,78,69,83,74,86,83,75,77,84,81,81,77,80,69,78,68,82,78,82,73,54,78,79,69,74,36,21,23
243,193348,82,60,80,80,74,72,37,80,76,85,82,78,76,83,87,79,88,80,92,85,63,74,62,81,64,65,78,79,65,79,40,41,48
251,187072,82,40,60,80,76,84,64,83,86,78,79,69,69,83,74,69,71,84,78,84,73,82,70,86,74,70,86,83,80,83,63,65,57
252,186627,82,80,80,80,68,84,66,75,74,81,78,78,55,85,77,82,70,68,50,89,75,66,85,74,70,30,77,70,92,81,16,22,20
259,183574,82,40,60,80,81,86,63,83,80,82,80,69,80,86,74,69,75,85,76,81,66,76,69,80,63,41,85,84,89,86,32,38,34
266,178509,82,60,40,60,64,83,90,77,82,72,70,65,56,82,51,55,59,82,52,85,82,74,90,74,76,41,83,75,81,78,26,37,20
268,178224,82,60,60,60,62,87,82,70,79,76,67,52,55,79,84,75,81,83,83,76,82,68,53,69,59,26,87,72,76,81,22,29,25
272,176600,82,60,60,60,70,84,67,79,78,76,76,70,72,80,88,86,82,85,77,84,84,76,64,76,66,38,86,76,85,85,23,33,39
276,171833,82,60,80,40,62,83,73,74,75,80,62,68,62,81,74,78,75,82,64,83,72,68,71,80,60,22,84,74,75,81,15,24,12
278,169416,82,60,80,40,80,81,64,81,84,82,80,71,63,81,87,81,86,77,79,73,69,68,68,80,57,37,81,80,72,79,12,22,14
289,150418,82,60,40,80,62,84,83,69,78,74,68,36,50,75,68,75,63,81,53,82,76,69,86,78,72,20,84,62,74,85,20,24,20
291,144622,82,40,80,80,73,81,63,84,75,87,80,73,77,87,77,68,84,84,83,77,71,74,63,78,66,53,82,83,72,79,29,42,31
292,143745,82,60,80,80,82,71,70,83,80,85,81,64,80,86,75,68,82,80,76,73,78,69,70,76,80,61,81,83,73,83,54,63,65
294,113422,82,60,80,100,71,86,67,76,79,83,83,80,67,85,72,67,75,83,75,81,67,76,66,79,67,29,86,75,88,83,22,28,38
297,231677,81,40,80,80,75,79,68,74,72,84,74,78,65,80,93,92,90,78,78,82,63,83,73,70,67,42,81,73,74,74,29,37,33
298,230666,81,40,80,80,66,83,66,75,67,87,76,54,66,85,89,85,93,82,92,78,75,84,63,73,56,32,83,75,78,84,20,17,19
301,222737,81,40,80,80,79,74,57,80,71,84,77,81,70,83,86,80,93,79,84,81,58,74,63,80,51,26,76,79,66,76,16,28,17
