,ID,overall,international_reputation,skill_moves,weak_foot,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle
8,182521,90,80,60,100,85,76,54,90,82,79,85,84,93,89,60,52,71,86,69,87,32,77,74,90,60,85,79,88,73,85,63,82,69
11,192985,89,80,80,80,90,83,53,90,82,85,83,83,84,87,76,75,80,88,75,85,65,87,73,86,68,56,84,90,77,84,30,51,40
14,177003,89,80,80,80,78,71,55,92,74,86,79,77,83,92,75,71,93,88,94,73,67,82,58,82,62,76,79,90,80,84,66,80,73
22,189509,88,60,100,60,72,69,58,91,90,90,85,77,90,92,77,68,90,84,86,75,75,75,59,82,57,78,83,86,75,83,49,64,62
33,215914,87,60,60,60,67,65,54,84,56,77,49,49,79,79,82,80,83,87,90,72,79,94,77,66,90,91,71,76,54,84,75,89,85
34,199556,87,60,60,80,72,58,55,90,64,90,73,64,89,88,69,62,87,87,94,56,64,77,56,58,89,86,71,88,64,91,76,84,79
35,195864,87,80,100,80,78,71,73,86,85,86,84,82,88,89,72,76,76,84,61,90,85,91,91,82,75,68,83,86,76,85,66,68,66
37,181872,87,80,60,80,76,77,81,84,78,76,76,68,82,83,76,74,75,89,77,86,82,91,77,85,93,85,80,80,81,86,76,89,85
40,171877,87,60,60,100,78,78,74,88,79,86,80,72,82,87,72,75,76,88,66,82,71,85,69,83,56,72,88,86,70,84,60,73,62
41,168651,87,80,60,60,81,83,58,87,80,84,88,84,92,87,67,64,72,79,66,84,44,76,63,88,67,69,80,87,78,81,52,65,53
42,168542,87,80,80,40,83,71,54,91,79,84,82,75,79,90,72,65,92,84,89,71,66,78,56,73,51,43,81,92,73,92,25,44,29
45,41,87,80,80,80,77,70,54,92,74,90,80,70,86,94,72,71,79,88,84,65,52,58,58,71,58,66,84,94,71,89,57,57,56
47,198710,86,80,80,60,88,82,62,84,91,83,87,86,80,85,77,75,82,84,75,86,54,68,70,91,65,55,80,86,81,87,25,42,30
48,197781,86,60,80,60,72,88,55,86,64,90,86,74,85,91,74,69,83,79,85,72,64,71,59,87,58,70,83,84,76,86,25,73,51
49,197445,86,80,60,80,82,63,75,83,68,79,78,85,80,83,86,86,79,84,77,83,82,87,69,83,69,85,77,78,80,79,81,83,83
53,189511,86,80,60,60,62,60,68,88,44,74,66,68,79,80,48,34,58,82,55,61,66,88,77,54,85,86,77,84,60,88,81,85,80
59,178518,86,60,60,60,73,76,59,84,75,80,73,68,81,85,80,76,81,87,84,84,76,94,76,86,88,86,88,76,63,85,78,86,88
65,162895,86,80,60,60,85,76,74,91,81,80,77,81,90,86,65,62,65,81,77,77,68,80,64,75,45,50,78,91,80,92,60,63,62
74,193747,85,60,60,80,84,71,61,86,56,80,85,76,85,86,74,70,77,84,79,84,61,84,75,81,71,66,82,89,59,75,66,69,51
83,186942,85,60,80,80,74,72,49,88,75,87,81,74,83,88,73,70,83,87,81,77,62,71,74,74,68,79,79,87,76,86,57,67,64
86,180206,85,60,80,80,80,61,60,89,72,86,86,91,85,89,74,74,79,84,79,78,61,78,65,82,68,74,70,88,79,84,62,70,66
87,173210,85,60,80,80,76,61,68,87,76,84,78,78,85,85,78,78,81,86,79,82,68,81,70,82,78,80,80,84,78,84,72,78,80
89,170890,85,60,40,40,75,65,73,84,72,73,65,52,79,77,79,78,76,84,79,74,84,94,78,66,85,85,68,75,56,82,83,84,81
107,191740,84,60,60,80,74,71,60,86,69,81,80,65,80,86,76,70,84,85,82,72,63,87,70,72,86,86,78,84,79,84,80,78,76
108,191202,84,60,60,60,68,64,77,83,74,72,68,67,81,78,62,66,56,82,53,78,71,89,89,75,83,85,68,75,69,84,75,83,75
109,189712,84,60,60,60,74,68,68,86,63,76,75,74,83,85,65,68,65,84,68,85,53,82,83,78,86,84,78,84,77,85,72,83,75
112,184120,84,60,60,60,60,66,61,87,48,75,72,77,86,83,42,41,53,84,59,84,66,76,77,81,79,85,69,83,75,86,70,84,85
116,179846,84,60,40,80,72,69,76,85,76,78,68,68,81,81,60,68,59,86,52,82,68,78,89,78,82,86,80,82,69,84,76,82,78
129,220971,83,40,80,60,62,74,42,88,59,90,63,47,78,88,82,66,90,84,90,76,56,88,59,66,77,79,74,81,58,79,55,63,61
133,212814,83,60,60,80,77,66,55,83,69,84,74,67,78,85,71,75,81,82,70,77,63,84,69,73,61,78,80,82,66,85,67,75,61
136,209658,83,60,60,80,75,72,75,84,68,80,76,75,79,82,85,85,76,84,72,77,67,86,68,78,84,82,79,82,60,81,74,79,78
142,207566,83,60,60,80,66,56,73,84,50,79,77,50,86,78,52,53,45,74,50,59,68,84,88,58,75,84,62,78,60,89,77,85,71
147,200888,83,60,40,60,50,56,76,82,55,76,48,53,79,77,67,68,58,76,60,77,67,87,89,64,88,85,69,69,52,84,80,85,78
153,193474,83,40,40,60,60,50,69,82,32,75,33,43,74,79,78,75,75,79,82,80,85,88,76,67,84,87,67,72,54,80,80,87,85
157,191180,83,60,80,80,77,73,63,87,78,88,83,69,83,87,69,72,79,83,58,78,49,67,64,76,65,69,78,86,75,79,49,59,51
158,189513,83,40,60,80,84,75,63,90,72,78,87,90,87,83,55,50,69,79,72,80,55,76,72,80,58,68,79,85,83,74,59,61,51
160,189125,83,60,60,60,82,70,60,84,78,83,78,78,80,85,78,78,81,82,77,84,69,87,69,86,68,72,78,82,68,82,60,72,68
164,187936,83,40,60,60,59,64,79,82,55,72,73,42,78,82,52,61,43,82,31,79,75,86,91,66,87,85,70,77,57,85,75,83,78
