,ID,overall,international_reputation,skill_moves,weak_foot,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle
0,20801,94,100,100,80,85,94,88,83,88,91,81,76,77,93,89,91,89,96,63,94,95,92,80,92,63,29,95,85,85,95,22,31,23
1,158023,93,100,80,80,77,95,71,88,85,97,89,90,87,95,92,87,90,95,95,85,68,73,59,88,48,22,93,90,78,96,13,28,26
2,190871,92,100,100,100,75,89,62,81,83,96,81,84,75,95,94,90,96,88,82,80,61,78,53,77,56,36,90,80,81,92,21,24,33
7,183277,90,80,80,80,80,83,57,86,79,93,82,79,81,92,93,87,93,85,91,79,59,79,65,82,54,41,85,86,86,87,25,27,22
11,192985,89,80,80,80,90,83,53,90,82,85,83,83,84,87,76,75,80,88,75,85,65,87,73,86,68,56,84,90,77,84,30,51,40
13,184941,89,80,80,60,80,85,70,81,83,90,78,78,73,87,88,84,90,87,87,84,85,85,72,82,80,42,86,83,77,86,30,39,35
15,173731,89,80,80,60,87,87,86,85,76,87,86,85,80,86,93,95,77,87,65,91,85,76,80,90,65,59,86,79,76,85,51,55,52
21,194765,88,80,80,60,82,88,80,79,87,87,84,75,75,86,87,86,90,90,80,81,87,76,61,82,69,35,91,76,71,86,23,22,11
28,176635,88,80,80,40,82,74,54,89,77,86,84,79,84,90,75,68,83,87,70,70,52,69,57,76,48,24,83,92,67,78,22,16,19
32,9014,88,80,80,40,80,85,51,84,86,92,87,81,71,89,87,86,89,87,91,87,61,68,67,88,47,39,85,83,80,86,29,26,26
36,190460,87,60,80,100,86,76,52,89,74,84,85,87,86,87,77,74,78,83,82,80,57,90,57,84,44,55,81,90,67,87,38,56,22
42,168542,87,80,80,40,83,71,54,91,79,84,82,75,79,90,72,65,92,84,89,71,66,78,56,73,51,43,81,92,73,92,25,44,29
45,41,87,80,80,80,77,70,54,92,74,90,80,70,86,94,72,71,79,88,84,65,52,58,58,71,58,66,84,94,71,89,57,57,56
47,198710,86,80,80,60,88,82,62,84,91,83,87,86,80,85,77,75,82,84,75,86,54,68,70,91,65,55,80,86,81,87,25,42,30
48,197781,86,60,80,60,72,88,55,86,64,90,86,74,85,91,74,69,83,79,85,72,64,71,59,87,58,70,83,84,76,86,25,73,51
51,191043,86,60,60,60,86,55,76,81,68,82,78,59,71,81,84,88,79,86,79,80,79,93,80,72,82,82,70,70,60,82,78,84,84
52,189596,86,80,60,80,77,87,82,81,83,75,81,59,68,82,76,78,76,92,72,77,81,90,67,77,57,58,93,81,60,83,31,41,44
54,189242,86,60,80,80,77,74,47,85,75,88,84,82,78,88,88,77,92,81,92,80,59,80,61,86,55,30,83,87,64,85,24,44,40
55,188350,86,80,80,80,80,86,49,86,88,86,90,84,80,85,86,90,86,87,81,87,72,68,67,88,49,50,86,86,87,83,30,36,46
61,175943,86,60,80,80,77,85,35,81,70,89,81,77,74,88,93,87,94,85,92,80,60,75,42,81,59,36,85,82,78,81,30,40,40
66,156616,86,80,100,80,81,76,41,86,80,90,83,81,75,90,85,79,88,86,91,76,34,64,60,75,52,36,81,86,78,86,13,25,26
69,208418,85,60,80,80,80,79,53,79,68,91,81,78,74,86,87,89,91,83,71,84,68,73,59,75,61,18,82,74,74,75,19,39,26
73,198219,85,60,80,60,83,73,56,83,74,88,83,77,73,90,94,86,96,80,93,70,53,75,44,80,34,26,83,87,61,78,16,24,22
74,193747,85,60,60,80,84,71,61,86,56,80,85,76,85,86,74,70,77,84,79,84,61,84,75,81,71,66,82,89,59,75,66,69,51
77,192883,85,60,80,100,79,77,53,84,81,87,83,64,72,87,88,84,89,82,85,87,71,86,63,75,69,64,82,85,72,79,49,53,55
85,183898,85,80,100,40,85,74,53,83,77,86,78,72,79,85,86,86,92,80,79,83,72,78,60,77,73,38,82,81,73,82,37,59,56
95,220834,84,60,80,60,79,82,50,86,75,83,83,76,81,86,83,82,78,78,76,84,57,73,61,87,45,45,72,83,62,82,29,42,39
96,218667,84,40,80,60,79,76,51,84,66,91,79,63,78,89,85,78,88,84,86,72,53,80,54,64,58,49,77,85,64,84,46,44,35
98,211117,84,60,80,60,68,84,75,83,76,83,71,53,76,85,77,76,74,85,62,77,69,89,71,79,84,67,86,83,68,86,60,63,57
99,208722,84,60,80,60,72,83,53,77,68,86,74,64,71,84,94,92,89,80,85,77,75,82,72,69,73,31,84,78,71,78,33,35,38
101,202166,84,60,80,100,83,78,65,84,84,88,78,75,77,87,76,79,81,83,75,86,76,68,67,81,48,36,79,84,63,81,25,35,26
110,189505,84,60,80,100,78,81,55,83,70,84,81,57,70,87,84,80,84,84,82,71,67,78,56,78,56,49,84,77,66,78,30,32,31
113,181458,84,60,80,100,84,79,78,78,80,83,73,76,72,83,81,87,78,80,67,83,82,86,75,80,59,42,84,78,76,80,26,45,45
115,180403,84,60,80,80,77,77,29,82,59,87,82,85,77,86,91,86,89,83,81,71,46,87,62,81,44,55,80,83,70,79,43,58,51
119,178088,84,60,60,60,84,79,59,86,71,82,84,84,77,87,71,63,85,84,89,75,72,77,43,70,52,39,83,87,81,85,25,28,21
125,143076,84,60,80,80,82,78,36,82,72,89,78,71,72,87,94,86,92,83,94,76,70,78,48,78,56,40,81,85,71,84,24,30,34
128,231443,83,60,100,100,77,77,43,74,76,92,78,65,68,85,93,89,90,82,85,82,59,74,47,65,54,36,78,84,75,73,29,30,33
132,213565,83,60,60,40,82,78,54,82,75,88,81,81,71,86,86,84,85,76,84,82,72,79,69,76,63,66,76,82,68,79,63,59,63
138,209331,83,60,80,40,73,79,59,79,71,87,70,60,65,87,93,93,86,82,84,71,70,77,61,62,63,55,83,78,61,75,37,43,41
140,208448,83,40,60,80,86,72,45,86,67,82,81,77,70,85,78,72,85,80,83,75,53,76,63,80,62,43,77,86,64,79,23,26,17
144,204485,83,60,100,80,81,74,45,78,71,88,79,75,74,88,85,80,92,75,85,76,62,75,51,72,40,38,79,79,72,82,25,23,19
148,199715,83,40,60,80,80,79,65,81,75,86,76,62,82,85,81,79,75,80,63,77,70,81,81,73,61,25,80,78,74,70,25,21,23
154,192629,83,40,60,60,67,86,78,80,86,85,83,76,64,84,84,79,88,86,77,79,68,70,59,80,63,36,85,68,80,73,20,21,18
157,191180,83,60,80,80,77,73,63,87,78,88,83,69,83,87,69,72,79,83,58,78,49,67,64,76,65,69,78,86,75,79,49,59,51
160,189125,83,60,60,60,82,70,60,84,78,83,78,78,80,85,78,78,81,82,77,84,69,87,69,86,68,72,78,82,68,82,60,72,68
167,185020,83,60,60,40,77,76,65,75,84,82,65,65,51,84,90,90,85,80,81,78,73,92,55,80,54,40,88,78,62,79,24,32,32
170,184144,83,60,80,40,82,73,54,81,81,85,88,72,78,84,84,79,87,84,81,72,68,69,46,74,57,40,79,82,71,80,30,42,43
171,181783,83,60,60,60,72,84,90,75,86,74,64,49,65,77,68,76,67,86,53,78,85,87,87,58,88,66,89,74,76,80,56,64,64
177,177388,83,60,80,80,84,76,59,85,79,89,90,91,82,90,76,72,79,75,80,78,48,73,74,83,57,37,77,87,76,83,29,36,39
192,139068,83,60,100,100,82,75,46,81,75,87,86,79,79,86,84,78,92,80,77,85,39,74,62,83,62,31,77,80,72,79,15,22,20
195,20775,83,60,100,80,88,70,41,79,80,89,92,78,75,87,85,82,91,78,84,83,63,69,54,83,62,24,75,80,74,79,10,17,13
199,222492,82,40,60,60,76,78,72,75,64,87,82,62,64,84,93,94,89,79,82,78,66,80,70,77,58,32,82,69,63,76,26,32,35
204,215785,82,40,80,80,75,79,58,76,68,87,70,52,64,89,93,92,82,76,77,78,66,73,76,74,54,31,78,73,58,79,17,29,28
206,212404,82,40,80,60,77,73,48,80,70,86,79,80,70,87,84,84,85,80,79,80,49,83,63,82,52,34,80,78,72,83,28,36,32
208,211575,82,60,60,80,61,68,69,84,63,81,82,68,83,80,71,66,67,79,64,80,58,78,85,73,81,76,77,83,55,78,65,77,64
209,211300,82,60,80,60,74,81,70,75,74,88,81,54,58,84,92,89,85,81,82,84,80,79,76,70,59,42,80,72,81,79,35,39,36
210,208808,82,40,80,80,75,82,60,76,68,83,75,76,69,82,86,91,87,81,78,82,82,81,61,83,60,27,79,81,72,78,25,24,27
211,208618,82,40,60,80,85,73,52,81,54,82,82,75,75,83,85,82,81,85,78,77,67,90,57,78,65,44,81,82,56,72,31,50,44
212,208421,82,60,60,80,69,71,83,85,30,82,63,60,80,84,72,73,76,82,68,74,79,80,76,70,66,78,79,79,54,80,69,82,77
220,204970,82,40,80,60,82,74,69,81,67,86,80,54,75,83,88,77,81,83,71,82,64,71,62,81,56,43,80,78,57,80,29,29,31
224,203551,82,60,60,60,77,76,70,82,87,79,73,79,75,84,86,84,87,79,84,82,74,90,68,82,79,77,82,75,76,79,73,79,78
226,202857,82,60,80,60,76,75,48,80,72,87,70,58,59,82,91,92,86,81,78,85,75,73,68,78,59,38,78,77,57,77,28,30,33
227,202652,82,60,80,60,73,73,38,81,59,85,64,49,67,84,94,92,91,79,92,68,60,75,64,70,34,26,81,75,63,74,48,58,54
228,202651,82,60,80,60,81,70,50,83,72,87,84,80,75,89,84,80,86,78,86,78,50,77,50,82,23,20,76,82,72,76,19,23,18
229,202477,82,60,80,80,76,70,40,79,68,89,84,78,62,87,93,93,93,78,79,72,72,78,59,65,40,25,78,74,78,76,20,30,22
232,200949,82,60,80,60,75,72,50,77,70,88,69,74,74,82,95,92,94,75,87,79,71,68,56,71,67,50,78,73,75,79,39,43,51
233,200104,82,60,80,100,75,83,65,78,73,85,81,70,64,82,87,86,79,81,77,83,65,80,62,86,60,29,83,78,71,78,17,19,23
236,198164,82,40,60,80,75,78,41,85,57,88,80,76,76,83,86,76,89,79,84,70,69,78,67,79,56,69,79,87,74,80,29,67,58
237,197965,82,60,80,80,77,77,45,82,77,82,83,76,81,82,83,76,87,82,84,74,67,90,59,78,68,68,85,86,76,85,62,64,52
239,194794,82,40,100,40,82,78,69,83,74,86,83,75,77,84,81,81,77,80,69,78,68,82,78,82,73,54,78,79,69,74,36,21,23
243,193348,82,60,80,80,74,72,37,80,76,85,82,78,76,83,87,79,88,80,92,85,63,74,62,81,64,65,78,79,65,79,40,41,48
244,193082,82,60,100,60,78,67,58,77,68,90,76,69,69,83,90,92,91,76,83,84,75,75,57,80,70,62,78,72,65,76,60,60,68
245,190483,82,60,100,60,76,71,51,78,73,85,79,78,71,83,96,88,91,76,90,86,61,74,63,84,55,32,77,78,77,73,28,31,30
249,188803,82,40,80,60,73,76,56,77,82,87,52,73,75,85,93,91,89,79,83,83,62,70,62,83,56,49,74,79,72,74,38,53,40
250,187754,82,40,100,60,76,76,53,81,68,87,80,72,73,88,85,82,92,77,84,76,68,78,62,78,58,51,77,79,74,84,45,49,42
253,186561,82,60,60,60,75,72,58,84,79,81,70,70,80,82,67,68,76,81,75,81,67,89,69,74,73,69,82,80,75,81,60,70,67
255,184484,82,60,60,60,86,81,60,84,75,79,87,89,78,84,65,66,72,78,61,82,70,86,67,84,57,37,80,84,80,81,55,56,55
256,184267,82,60,80,60,77,74,46,77,73,91,83,78,70,85,86,75,93,83,87,69,72,76,49,74,46,38,76,78,75,86,24,36,25
257,184200,82,60,80,80,83,73,71,79,79,84,79,74,74,85,76,78,72,75,57,78,68,79,84,71,81,53,80,81,77,77,49,60,30
278,169416,82,60,80,40,80,81,64,81,84,82,80,71,63,81,87,81,86,77,79,73,69,68,68,80,57,37,81,80,72,79,12,22,14
280,167431,82,40,60,80,82,69,52,84,65,80,80,74,83,82,73,69,83,84,83,77,73,78,65,78,64,78,76,83,58,83,72,70,81
281,165239,82,60,80,100,79,76,42,84,72,83,77,79,76,85,78,78,85,77,90,74,50,75,63,80,33,37,79,81,77,82,35,37,44
292,143745,82,60,80,80,82,71,70,83,80,85,81,64,80,86,75,68,82,80,76,73,78,69,70,76,80,61,81,83,73,83,54,63,65
295,108080,82,60,40,60,82,45,72,77,62,76,68,66,71,75,76,78,77,82,79,74,75,83,72,70,82,82,66,62,64,80,78,82,82
297,231677,81,40,80,80,75,79,68,74,72,84,74,78,65,80,93,92,90,78,78,82,63,83,73,70,67,42,81,73,74,74,29,37,33
300,227055,81,60,100,60,79,66,51,75,74,85,84,60,56,83,95,94,94,82,94,72,65,87,48,74,57,43,77,78,66,84,43,46,36
301,222737,81,40,80,80,79,74,57,80,71,84,77,81,70,83,86,80,93,79,84,81,58,74,63,80,51,26,76,79,66,76,16,28,17
