,overall,ball_control,reactions
0,94,93,96
1,93,95,95
2,92,95,88
3,92,91,93
5,91,89,91
7,90,92,85
8,90,89,86
9,90,85,88
10,90,84,85
11,89,87,88
13,89,87,87
14,89,92,88
15,89,86,87
16,89,89,89
17,89,57,82
19,88,93,84
21,88,86,90
22,88,92,84
23,88,82,87
24,88,75,86
25,88,71,82
26,88,76,85
27,88,77,85
28,88,90,87
30,88,80,84
31,88,88,86
32,88,89,87
33,87,79,87
34,87,88,87
35,87,89,84
36,87,87,83
37,87,83,89
38,87,80,90
39,87,88,87
40,87,87,88
41,87,87,79
42,87,90,84
44,87,78,84
45,87,94,88
46,86,82,87
47,86,85,84
48,86,91,79
49,86,83,84
50,86,75,85
51,86,81,86
52,86,82,92
53,86,80,82
54,86,88,81
55,86,85,87
56,86,70,86
57,86,79,79
58,86,83,86
59,86,85,87
60,86,71,84
61,86,88,85
62,86,58,81
63,86,72,82
64,86,86,83
65,86,86,81
66,86,90,86
67,86,62,83
69,85,86,83
70,85,77,81
71,85,84,81
72,85,78,83
73,85,90,80
74,85,86,84
75,85,84,85
77,85,87,82
81,85,59,79
82,85,83,82
83,85,88,87
84,85,79,86
85,85,85,80
86,85,89,84
87,85,85,86
88,85,74,82
89,85,77,84
91,85,81,83
92,85,68,84
93,85,65,80
94,84,68,78
95,84,86,78
96,84,89,84
97,84,71,82
98,84,85,85
99,84,84,80
100,84,83,81
101,84,87,83
102,84,77,83
103,84,59,80
105,84,65,81
106,84,70,82
107,84,86,85
108,84,78,82
109,84,85,84
110,84,87,84
112,84,83,84
113,84,83,80
114,84,80,83
115,84,86,83
116,84,81,86
119,84,87,84
120,84,65,78
121,84,82,84
122,84,67,82
123,84,63,85
124,84,86,79
125,84,87,83
126,84,82,85
127,83,87,79
128,83,85,82
129,83,88,84
130,83,56,76
132,83,86,76
133,83,85,82
134,83,63,80
136,83,82,84
137,83,80,79
138,83,87,82
139,83,78,78
140,83,85,80
141,83,76,81
142,83,78,74
143,83,75,77
144,83,88,75
145,83,73,79
146,83,85,82
147,83,77,76
148,83,85,80
150,83,71,78
152,83,71,81
153,83,79,79
154,83,84,86
155,83,80,85
156,83,64,78
157,83,87,83
158,83,83,79
159,83,85,81
160,83,85,82
161,83,73,85
162,83,76,81
163,83,84,81
164,83,82,82
165,83,73,81
166,83,72,81
167,83,84,80
168,83,85,77
169,83,87,82
170,83,84,84
171,83,77,86
172,83,86,78
173,83,68,82
174,83,85,78
177,83,90,75
178,83,84,81
179,83,88,85
180,83,76,82
181,83,73,77
182,83,81,86
184,83,86,80
185,83,88,84
186,83,74,76
187,83,85,82
189,83,87,82
190,83,80,83
191,83,85,77
192,83,86,80
193,83,78,80
195,83,87,78
196,83,82,82
199,82,84,79
200,82,80,78
201,82,80,82
202,82,88,76
203,82,84,77
204,82,89,76
205,82,64,81
206,82,87,80
207,82,82,84
208,82,80,79
209,82,84,81
210,82,82,81
211,82,83,85
212,82,84,82
213,82,64,77
214,82,81,80
215,82,88,81
216,82,87,68
218,82,84,81
219,82,68,82
220,82,83,83
221,82,66,78
222,82,70,75
223,82,82,79
224,82,84,79
225,82,81,84
226,82,82,81
227,82,84,79
228,82,89,78
229,82,87,78
230,82,70,76
231,82,68,77
232,82,82,75
233,82,82,81
234,82,67,83
235,82,80,83
236,82,83,79
237,82,82,82
238,82,80,81
239,82,84,80
241,82,74,80
242,82,71,77
243,82,83,80
244,82,83,76
245,82,83,76
246,82,76,76
247,82,80,75
248,82,76,84
249,82,85,79
250,82,88,77
251,82,83,84
252,82,85,68
253,82,82,81
255,82,84,78
256,82,85,83
257,82,85,75
258,82,80,79
259,82,86,85
261,82,71,78
263,82,73,77
264,82,84,82
265,82,72,82
266,82,82,82
267,82,66,76
268,82,79,83
269,82,80,80
270,82,75,82
271,82,85,81
272,82,80,85
275,82,68,82
276,82,81,82
277,82,76,82
278,82,81,77
280,82,82,84
281,82,85,77
282,82,66,80
283,82,80,83
285,82,82,75
287,82,67,80
289,82,75,81
290,82,79,82
291,82,87,84
292,82,86,80
293,82,78,82
294,82,85,83
295,82,75,82
297,81,80,78
298,81,85,82
299,81,78,82
300,81,83,82
301,81,83,79
302,81,81,84
303,81,64,74
304,81,75,84
305,81,84,81
306,81,84,77
307,81,81,78
308,81,81,72
309,81,72,80
310,81,83,83
311,81,83,79
312,81,86,75
313,81,82,76
314,81,83,81
315,81,76,86
316,81,80,82
317,81,71,76
318,81,84,81
319,81,79,78
321,81,80,78
322,81,80,79
323,81,86,74
324,81,84,76
325,81,74,72
327,81,80,78
328,81,83,80
329,81,82,81
330,81,87,77
331,81,82,81
332,81,86,73
333,81,78,81
334,81,77,81
335,81,63,74
336,81,75,77
337,81,82,82
338,81,67,75
339,81,83,79
340,81,76,80
341,81,78,82
342,81,84,82
343,81,75,77
344,81,79,82
345,81,90,84
347,81,81,81
348,81,81,85
349,81,58,78
350,81,84,80
351,81,84,84
352,81,86,73
354,81,81,75
355,81,75,84
356,81,81,81
357,81,79,85
358,81,82,81
359,81,87,80
360,81,79,82
361,81,78,79
362,81,61,72
363,81,64,75
364,81,88,76
365,81,78,83
366,81,67,76
368,81,82,77
370,81,66,80
371,81,85,76
372,81,84,81
373,81,84,86
374,81,59,73
377,81,83,75
378,81,73,77
379,81,73,76
380,81,79,80
381,81,70,76
382,81,83,78
383,81,80,83
386,81,80,83
387,81,64,85
388,81,81,74
389,81,81,73
390,81,78,77
391,80,84,77
392,80,81,76
393,80,63,82
394,80,85,82
395,80,81,78
397,80,78,80
398,80,83,78
399,80,84,81
400,80,65,74
401,80,80,79
402,80,81,79
403,80,84,76
404,80,78,80
405,80,81,82
406,80,84,82
407,80,81,80
408,80,80,77
409,80,79,81
410,80,69,78
411,80,83,74
413,80,77,73
414,80,78,78
415,80,82,77
416,80,81,81
417,80,64,79
418,80,85,82
