,ID,overall,international_reputation,skill_moves,weak_foot,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle
10,155862,90,80,60,60,66,60,91,78,66,61,73,67,72,84,75,77,79,85,60,79,93,84,81,55,84,88,52,63,68,80,86,89,91
17,138956,89,80,40,40,58,33,84,59,45,58,60,31,59,57,68,78,59,82,64,78,89,68,91,49,92,88,28,50,50,82,92,92,90
24,184344,88,60,40,60,44,39,88,79,58,69,56,61,85,75,62,72,60,86,52,74,85,73,85,65,82,90,38,74,70,84,84,88,88
25,183907,88,80,40,80,69,34,85,75,53,67,56,31,80,71,72,78,58,82,53,79,75,74,91,58,82,83,47,76,46,86,88,91,90
26,182493,88,60,40,60,55,42,92,79,47,53,49,51,70,76,64,70,63,85,58,67,89,67,80,43,88,88,48,52,50,82,87,86,89
27,178603,88,80,40,60,64,55,89,80,60,68,65,53,85,77,62,65,64,85,58,71,68,66,85,51,66,89,56,79,68,91,85,92,90
30,164240,88,80,60,60,60,38,82,79,63,68,61,67,81,80,70,74,74,84,68,74,93,74,81,71,77,89,59,74,71,83,90,89,88
44,152729,87,80,40,60,57,64,83,81,57,59,58,43,80,78,55,73,58,84,42,62,74,66,83,51,72,88,58,62,69,86,86,87,86
49,197445,86,80,60,80,82,63,75,83,68,79,78,85,80,83,86,86,79,84,77,83,82,87,69,83,69,85,77,78,80,79,81,83,83
56,184087,86,60,40,60,64,45,82,77,38,62,63,69,81,70,62,69,60,86,50,86,81,76,82,66,81,84,56,67,60,81,89,90,85
57,179944,86,80,60,60,68,55,83,79,64,66,70,76,78,79,68,71,72,79,56,77,80,76,81,71,86,87,54,69,75,78,80,85,84
60,177610,86,60,40,60,60,53,90,75,61,62,54,45,74,71,49,50,54,84,58,76,83,64,84,63,91,86,57,74,52,83,84,87,87
62,172879,86,60,40,60,47,44,87,64,46,58,36,35,64,58,71,84,62,81,68,79,87,74,86,48,91,80,50,52,33,82,88,90,86
63,168609,86,60,40,60,48,43,83,70,51,65,32,39,69,72,67,74,61,82,57,70,82,65,80,41,83,88,43,58,49,84,89,90,86
67,120533,86,80,40,60,46,46,80,70,23,58,44,47,61,62,65,70,63,83,49,63,76,62,84,56,94,86,40,48,57,77,86,86,87
70,201535,85,60,40,60,36,40,83,75,42,57,46,54,76,77,80,85,58,81,47,52,80,68,85,53,77,82,44,56,43,82,84,86,85
81,190547,85,60,40,40,29,27,85,63,17,51,35,26,59,59,53,58,34,79,55,57,82,72,90,20,86,87,24,23,39,79,85,87,83
84,184432,85,60,60,60,78,46,76,80,51,69,66,58,74,79,78,79,75,86,73,68,76,88,73,60,80,85,62,68,66,78,87,88,87
88,172871,85,60,40,60,68,56,81,79,52,69,58,73,74,74,68,66,62,82,55,86,83,79,81,68,83,86,60,68,68,81,84,86,86
92,139720,85,80,40,60,61,45,84,72,46,63,61,52,66,68,61,64,60,84,42,75,71,74,88,55,87,80,41,59,63,81,84,85,84
93,137186,85,60,40,60,40,21,72,65,35,64,50,31,65,65,64,76,51,80,64,54,85,46,87,39,70,92,28,62,60,82,90,90,88
94,225508,84,40,40,60,51,33,81,72,42,63,46,43,56,68,75,80,63,78,63,55,84,78,85,48,87,85,47,54,46,74,82,85,85
97,212218,84,40,40,40,58,45,85,73,40,55,61,69,78,71,68,70,49,82,55,68,77,71,84,47,72,85,54,52,35,74,86,88,85
103,201024,84,60,40,40,30,19,79,59,14,54,28,28,48,59,69,76,50,80,40,55,77,73,93,15,87,86,24,34,33,78,85,87,85
105,192774,84,60,40,40,27,10,80,60,16,54,30,10,61,65,78,81,68,81,60,43,86,78,84,12,86,85,25,22,26,75,88,86,87
106,192227,84,60,40,60,50,58,81,77,51,53,55,47,69,70,64,69,66,82,69,66,84,74,81,52,79,85,50,55,54,74,82,83,85
120,177509,84,60,40,60,45,45,80,65,31,64,34,27,65,65,72,76,59,78,51,59,82,68,89,24,82,84,38,47,41,78,86,86,84
122,165229,84,60,40,60,52,32,81,76,35,62,22,49,69,67,74,76,68,82,62,54,82,75,76,47,88,86,39,56,51,75,83,87,84
123,164468,84,60,40,60,28,56,86,65,47,58,48,27,61,63,62,63,62,85,51,63,82,69,80,66,84,83,45,56,53,75,84,85,84
130,216460,83,40,40,60,47,37,79,68,30,47,36,44,58,56,68,72,57,76,50,72,90,68,84,48,89,85,24,27,38,73,85,84,87
134,212190,83,40,40,60,30,20,85,76,29,42,28,30,61,63,51,76,33,80,32,77,38,65,94,62,81,82,26,30,32,72,81,86,82
141,207865,83,60,40,60,72,33,80,80,31,65,49,32,78,76,69,72,66,81,68,53,85,75,74,35,80,84,46,51,31,79,85,85,86
143,205600,83,60,40,60,69,51,72,79,70,69,72,63,73,75,72,75,68,77,66,83,87,79,78,74,80,86,58,58,61,74,80,85,83
145,203376,83,60,40,60,53,52,80,76,45,70,60,70,76,73,69,76,57,79,51,81,79,76,92,64,78,83,41,59,62,82,83,85,83
147,200888,83,60,40,60,50,56,76,82,55,76,48,53,79,77,67,68,58,76,60,77,67,87,89,64,88,85,69,69,52,84,80,85,78
150,198176,83,60,40,80,49,25,78,71,27,61,45,16,71,71,68,68,61,78,60,65,71,69,80,60,74,85,32,50,41,82,87,86,82
152,197061,83,40,40,40,54,36,85,77,50,65,63,22,74,71,60,73,58,81,49,66,67,73,81,48,81,85,51,72,42,75,83,85,79
156,192366,83,60,40,60,52,53,83,71,56,41,50,39,66,64,62,64,69,78,62,69,86,76,80,56,90,85,49,45,44,84,81,83,84
165,186547,83,60,40,60,55,48,81,78,36,43,53,45,70,73,72,69,72,81,59,57,83,70,81,53,81,85,50,64,57,76,85,84,86
166,185239,83,60,40,80,49,28,83,74,55,64,44,33,69,72,72,79,64,81,61,63,82,68,78,36,73,84,35,59,48,78,86,85,82
173,179784,83,60,40,60,58,48,84,73,38,60,38,52,64,68,62,65,63,82,61,62,82,68,81,31,79,83,51,57,56,82,84,83,83
180,173771,83,60,40,80,86,65,74,78,67,74,80,47,69,76,73,84,66,82,66,77,76,79,79,68,83,81,73,72,65,82,79,84,83
181,170481,83,60,40,60,62,58,85,69,49,62,55,74,72,73,39,46,57,77,38,80,79,74,85,68,74,84,49,63,69,79,84,85,82
186,159147,83,40,40,60,69,64,80,74,44,62,59,51,77,74,67,69,64,76,72,73,84,79,79,67,81,82,58,63,68,80,88,88,84
190,142754,83,80,40,60,63,42,68,79,51,58,63,50,75,80,67,64,72,83,78,76,75,76,74,55,88,88,51,68,60,86,81,83,82
205,213331,82,40,40,80,35,20,80,74,24,55,30,27,69,64,64,78,48,81,39,44,71,60,91,25,70,80,27,61,38,70,82,86,80
213,207863,82,60,40,60,45,39,82,75,40,57,32,30,70,64,65,70,63,77,57,46,92,83,78,41,84,83,34,50,47,74,82,84,79
219,205452,82,40,40,60,68,27,78,70,34,59,34,56,65,68,73,75,63,82,50,70,74,65,83,40,89,79,33,57,40,73,82,84,81
221,204639,82,40,40,60,35,34,81,67,27,47,34,28,69,66,60,65,60,78,54,43,85,60,77,31,83,84,29,41,37,75,85,82,84
222,204525,82,40,40,40,51,42,78,74,37,53,72,51,77,70,70,72,67,75,64,81,89,72,78,74,86,82,48,46,39,72,85,81,84
230,202335,82,40,40,60,67,52,83,76,52,66,54,77,77,70,70,74,56,76,40,83,77,80,87,72,90,80,53,66,70,77,79,82,83
231,201862,82,60,60,40,75,50,82,72,49,67,67,57,73,68,70,71,72,77,64,79,85,79,82,63,92,80,57,57,64,74,79,82,80
234,199845,82,40,40,60,25,37,77,70,39,57,62,56,75,67,65,60,33,83,35,75,68,69,84,60,73,84,20,59,72,83,86,86,85
241,193532,82,60,40,80,55,31,68,78,61,63,35,45,76,74,74,74,78,80,92,65,92,79,77,59,89,86,58,72,62,78,78,84,82
242,193469,82,40,40,40,54,37,77,75,39,53,67,46,70,71,54,61,56,77,58,59,78,74,85,38,82,83,39,56,46,72,83,84,85
263,181786,82,60,60,60,68,47,83,70,38,65,69,60,72,73,49,65,57,77,46,64,86,80,84,53,81,77,45,60,49,78,83,83,82
265,179847,82,60,40,40,44,41,89,64,35,48,46,37,62,72,31,30,29,82,32,63,40,69,90,26,84,83,32,47,33,83,85,84,79
267,178372,82,60,40,60,72,57,85,71,48,58,70,48,74,66,63,61,57,76,47,73,83,78,85,62,86,79,61,57,58,81,84,82,82
275,171919,82,60,40,80,45,57,91,72,60,60,52,76,70,68,67,70,50,82,36,92,41,62,82,81,71,83,53,59,60,84,80,85,84
282,163824,82,60,40,80,32,37,78,71,34,57,34,23,74,66,62,67,58,80,59,64,82,70,86,40,83,82,28,53,45,73,79,83,80
287,157481,82,60,40,60,38,27,77,71,31,54,53,45,65,67,57,57,53,80,56,65,77,62,82,53,79,83,30,49,37,73,85,85,83
303,220793,81,40,40,60,36,40,81,65,28,54,22,27,61,64,65,76,62,74,55,74,74,79,86,44,85,76,34,44,44,72,81,82,85
309,213661,81,40,40,60,49,36,79,76,25,68,32,22,72,72,70,73,63,80,62,31,74,69,72,20,73,82,32,62,36,74,83,88,84
310,212622,81,40,60,80,88,66,69,85,61,77,81,61,80,83,76,65,83,83,83,75,79,85,65,67,74,79,76,79,44,78,77,78,79
317,207599,81,40,40,60,60,50,84,74,40,66,53,33,71,71,73,72,63,76,64,58,83,79,88,46,68,81,29,56,48,75,84,82,80
325,200724,81,40,40,80,70,32,80,77,38,55,55,37,61,74,72,80,60,72,68,54,81,79,78,28,74,81,37,53,45,73,81,82,83
333,198141,81,60,60,60,55,43,82,79,43,70,56,45,78,78,78,77,73,81,71,64,86,66,68,62,79,86,61,75,52,76,82,78,84
335,197655,81,60,40,60,17,32,80,73,55,65,47,19,73,63,50,64,33,74,31,62,62,79,93,30,82,80,49,50,42,74,76,84,85
338,195086,81,40,40,80,59,33,77,68,42,63,26,18,66,67,57,55,53,75,43,63,82,70,86,34,87,82,21,56,52,70,78,83,85
341,193352,81,60,60,60,87,59,64,78,67,76,82,84,79,78,73,74,73,82,72,78,73,75,70,72,75,81,68,74,83,81,76,79,81
349,189881,81,60,40,60,52,50,83,66,54,59,49,22,63,58,69,75,60,78,48,42,75,77,87,35,83,79,48,49,52,71,80,82,80
355,188005,81,40,40,60,50,58,83,81,52,64,62,59,74,75,64,59,71,84,63,76,85,84,78,54,86,85,66,79,48,76,75,82,74
362,183285,81,60,40,40,60,23,74,73,20,50,50,30,68,61,53,67,61,72,53,51,82,74,90,38,86,81,32,49,40,71,78,83,79
363,183280,81,60,40,60,28,45,79,66,45,53,43,55,68,64,49,57,57,75,50,83,76,63,91,58,83,83,24,22,48,77,80,81,78
366,179645,81,60,40,60,54,55,82,75,37,42,52,73,74,67,60,68,48,76,58,78,70,78,83,41,80,81,31,49,61,72,80,82,80
370,173198,81,40,40,60,34,25,77,68,27,56,33,17,68,66,66,69,57,80,48,65,80,69,80,36,77,86,29,46,27,74,85,85,80
374,166706,81,60,40,40,39,35,84,69,43,46,33,27,67,59,54,67,52,73,52,46,75,76,85,35,80,81,33,28,39,71,80,83,81
378,158625,81,60,40,80,60,47,83,74,44,58,51,60,75,73,44,45,53,77,64,66,65,62,81,53,73,80,41,62,57,77,80,83,84
381,142780,81,40,40,60,38,44,84,70,22,62,50,46,74,70,65,70,64,76,60,68,86,66,78,36,80,83,32,64,74,78,82,84,80
387,53612,81,60,40,60,38,36,84,66,30,39,39,45,58,64,26,28,27,85,28,71,30,55,83,25,68,86,43,58,42,87,85,87,82
393,215792,80,40,40,40,30,28,79,70,46,54,26,26,60,63,64,63,63,82,58,45,84,67,78,35,76,82,26,46,54,76,79,82,80
400,211320,80,20,40,60,40,33,80,65,35,64,45,25,59,65,54,66,59,74,53,58,81,68,80,39,70,84,28,50,36,70,84,84,82
417,205362,80,40,40,60,46,27,79,69,32,35,47,28,67,64,66,74,64,79,58,44,81,65,78,22,78,78,30,55,47,78,81,84,86
420,204082,80,40,40,60,36,39,86,71,32,65,30,28,72,62,69,78,60,74,51,50,74,64,84,29,76,80,40,57,45,77,79,83,80
422,203888,80,20,40,40,30,25,79,61,25,41,25,43,69,64,35,34,35,72,36,59,82,72,91,40,76,83,30,32,52,71,83,83,75
438,195861,80,40,40,60,68,57,69,78,53,69,75,77,84,77,69,74,72,77,73,87,74,82,75,84,82,82,53,75,50,78,82,83,81
439,194957,80,40,40,60,64,50,77,75,60,60,38,35,67,68,56,65,50,77,61,68,83,75,81,59,85,82,42,59,55,72,78,81,82
442,194229,80,40,40,60,84,28,63,70,28,69,78,38,68,80,73,75,78,80,66,74,82,90,69,39,76,80,46,64,23,70,75,80,82
449,192641,80,40,40,60,60,50,78,74,51,67,50,62,83,71,66,85,59,77,49,78,55,75,85,57,81,82,55,67,53,71,76,81,78
452,191687,80,40,40,60,70,40,83,66,29,55,70,74,70,60,58,67,34,66,45,85,71,71,88,67,88,79,44,52,52,71,81,84,77
454,190815,80,60,40,80,80,46,71,81,62,73,84,62,80,80,63,58,72,84,75,68,71,86,74,62,70,82,68,76,56,83,80,83,76
460,189156,80,40,40,60,61,48,79,78,47,58,39,54,79,69,54,59,59,75,68,66,91,70,77,50,88,82,57,62,62,81,76,82,80
470,184190,80,40,40,60,50,22,80,76,18,28,39,34,72,72,55,54,54,72,50,65,68,61,86,28,74,82,28,37,55,76,79,81,79
473,182002,80,40,40,40,56,46,74,71,43,69,36,39,68,76,42,58,51,75,45,61,63,69,90,50,77,80,44,44,58,71,80,82,79
477,177604,80,40,40,60,78,39,67,77,56,73,74,59,61,77,75,76,73,81,74,71,75,83,69,61,75,83,64,66,61,76,80,83,81
