,ID,overall,international_reputation,skill_moves,weak_foot,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle
0,20801,94,100,100,80,85,94,88,83,88,91,81,76,77,93,89,91,89,96,63,94,95,92,80,92,63,29,95,85,85,95,22,31,23
1,158023,93,100,80,80,77,95,71,88,85,97,89,90,87,95,92,87,90,95,95,85,68,73,59,88,48,22,93,90,78,96,13,28,26
2,190871,92,100,100,100,75,89,62,81,83,96,81,84,75,95,94,90,96,88,82,80,61,78,53,77,56,36,90,80,81,92,21,24,33
7,183277,90,80,80,80,80,83,57,86,79,93,82,79,81,92,93,87,93,85,91,79,59,79,65,82,54,41,85,86,86,87,25,27,22
13,184941,89,80,80,60,80,85,70,81,83,90,78,78,73,87,88,84,90,87,87,84,85,85,72,82,80,42,86,83,77,86,30,39,35
15,173731,89,80,80,60,87,87,86,85,76,87,86,85,80,86,93,95,77,87,65,91,85,76,80,90,65,59,86,79,76,85,51,55,52
21,194765,88,80,80,60,82,88,80,79,87,87,84,75,75,86,87,86,90,90,80,81,87,76,61,82,69,35,91,76,71,86,23,22,11
28,176635,88,80,80,40,82,74,54,89,77,86,84,79,84,90,75,68,83,87,70,70,52,69,57,76,48,24,83,92,67,78,22,16,19
32,9014,88,80,80,40,80,85,51,84,86,92,87,81,71,89,87,86,89,87,91,87,61,68,67,88,47,39,85,83,80,86,29,26,26
52,189596,86,80,60,80,77,87,82,81,83,75,81,59,68,82,76,78,76,92,72,77,81,90,67,77,57,58,93,81,60,83,31,41,44
54,189242,86,60,80,80,77,74,47,85,75,88,84,82,78,88,88,77,92,81,92,80,59,80,61,86,55,30,83,87,64,85,24,44,40
55,188350,86,80,80,80,80,86,49,86,88,86,90,84,80,85,86,90,86,87,81,87,72,68,67,88,49,50,86,86,87,83,30,36,46
61,175943,86,60,80,80,77,85,35,81,70,89,81,77,74,88,93,87,94,85,92,80,60,75,42,81,59,36,85,82,78,81,30,40,40
66,156616,86,80,100,80,81,76,41,86,80,90,83,81,75,90,85,79,88,86,91,76,34,64,60,75,52,36,81,86,78,86,13,25,26
73,198219,85,60,80,60,83,73,56,83,74,88,83,77,73,90,94,86,96,80,93,70,53,75,44,80,34,26,83,87,61,78,16,24,22
77,192883,85,60,80,100,79,77,53,84,81,87,83,64,72,87,88,84,89,82,85,87,71,86,63,75,69,64,82,85,72,79,49,53,55
85,183898,85,80,100,40,85,74,53,83,77,86,78,72,79,85,86,86,92,80,79,83,72,78,60,77,73,38,82,81,73,82,37,59,56
95,220834,84,60,80,60,79,82,50,86,75,83,83,76,81,86,83,82,78,78,76,84,57,73,61,87,45,45,72,83,62,82,29,42,39
99,208722,84,60,80,60,72,83,53,77,68,86,74,64,71,84,94,92,89,80,85,77,75,82,72,69,73,31,84,78,71,78,33,35,38
101,202166,84,60,80,100,83,78,65,84,84,88,78,75,77,87,76,79,81,83,75,86,76,68,67,81,48,36,79,84,63,81,25,35,26
110,189505,84,60,80,100,78,81,55,83,70,84,81,57,70,87,84,80,84,84,82,71,67,78,56,78,56,49,84,77,66,78,30,32,31
115,180403,84,60,80,80,77,77,29,82,59,87,82,85,77,86,91,86,89,83,81,71,46,87,62,81,44,55,80,83,70,79,43,58,51
125,143076,84,60,80,80,82,78,36,82,72,89,78,71,72,87,94,86,92,83,94,76,70,78,48,78,56,40,81,85,71,84,24,30,34
128,231443,83,60,100,100,77,77,43,74,76,92,78,65,68,85,93,89,90,82,85,82,59,74,47,65,54,36,78,84,75,73,29,30,33
138,209331,83,60,80,40,73,79,59,79,71,87,70,60,65,87,93,93,86,82,84,71,70,77,61,62,63,55,83,78,61,75,37,43,41
154,192629,83,40,60,60,67,86,78,80,86,85,83,76,64,84,84,79,88,86,77,79,68,70,59,80,63,36,85,68,80,73,20,21,18
157,191180,83,60,80,80,77,73,63,87,78,88,83,69,83,87,69,72,79,83,58,78,49,67,64,76,65,69,78,86,75,79,49,59,51
160,189125,83,60,60,60,82,70,60,84,78,83,78,78,80,85,78,78,81,82,77,84,69,87,69,86,68,72,78,82,68,82,60,72,68
167,185020,83,60,60,40,77,76,65,75,84,82,65,65,51,84,90,90,85,80,81,78,73,92,55,80,54,40,88,78,62,79,24,32,32
177,177388,83,60,80,80,84,76,59,85,79,89,90,91,82,90,76,72,79,75,80,78,48,73,74,83,57,37,77,87,76,83,29,36,39
192,139068,83,60,100,100,82,75,46,81,75,87,86,79,79,86,84,78,92,80,77,85,39,74,62,83,62,31,77,80,72,79,15,22,20
199,222492,82,40,60,60,76,78,72,75,64,87,82,62,64,84,93,94,89,79,82,78,66,80,70,77,58,32,82,69,63,76,26,32,35
204,215785,82,40,80,80,75,79,58,76,68,87,70,52,64,89,93,92,82,76,77,78,66,73,76,74,54,31,78,73,58,79,17,29,28
208,211575,82,60,60,80,61,68,69,84,63,81,82,68,83,80,71,66,67,79,64,80,58,78,85,73,81,76,77,83,55,78,65,77,64
211,208618,82,40,60,80,85,73,52,81,54,82,82,75,75,83,85,82,81,85,78,77,67,90,57,78,65,44,81,82,56,72,31,50,44
220,204970,82,40,80,60,82,74,69,81,67,86,80,54,75,83,88,77,81,83,71,82,64,71,62,81,56,43,80,78,57,80,29,29,31
224,203551,82,60,60,60,77,76,70,82,87,79,73,79,75,84,86,84,87,79,84,82,74,90,68,82,79,77,82,75,76,79,73,79,78
227,202652,82,60,80,60,73,73,38,81,59,85,64,49,67,84,94,92,91,79,92,68,60,75,64,70,34,26,81,75,63,74,48,58,54
228,202651,82,60,80,60,81,70,50,83,72,87,84,80,75,89,84,80,86,78,86,78,50,77,50,82,23,20,76,82,72,76,19,23,18
229,202477,82,60,80,80,76,70,40,79,68,89,84,78,62,87,93,93,93,78,79,72,72,78,59,65,40,25,78,74,78,76,20,30,22
232,200949,82,60,80,60,75,72,50,77,70,88,69,74,74,82,95,92,94,75,87,79,71,68,56,71,67,50,78,73,75,79,39,43,51
239,194794,82,40,100,40,82,78,69,83,74,86,83,75,77,84,81,81,77,80,69,78,68,82,78,82,73,54,78,79,69,74,36,21,23
243,193348,82,60,80,80,74,72,37,80,76,85,82,78,76,83,87,79,88,80,92,85,63,74,62,81,64,65,78,79,65,79,40,41,48
257,184200,82,60,80,80,83,73,71,79,79,84,79,74,74,85,76,78,72,75,57,78,68,79,84,71,81,53,80,81,77,77,49,60,30
278,169416,82,60,80,40,80,81,64,81,84,82,80,71,63,81,87,81,86,77,79,73,69,68,68,80,57,37,81,80,72,79,12,22,14
292,143745,82,60,80,80,82,71,70,83,80,85,81,64,80,86,75,68,82,80,76,73,78,69,70,76,80,61,81,83,73,83,54,63,65
301,222737,81,40,80,80,79,74,57,80,71,84,77,81,70,83,86,80,93,79,84,81,58,74,63,80,51,26,76,79,66,76,16,28,17
305,216354,81,40,80,80,70,82,69,79,78,86,68,71,53,84,78,69,79,81,77,82,69,76,68,78,73,21,84,66,84,77,20,20,26
307,216201,81,40,80,60,78,78,67,79,64,82,49,53,66,81,92,94,78,78,43,85,84,77,84,76,66,21,76,75,64,71,28,38,31
312,210935,81,40,60,60,76,77,62,75,78,84,72,76,75,86,85,85,87,75,73,83,66,80,65,83,80,26,81,77,80,74,22,30,30
323,201995,81,60,80,80,79,71,44,78,68,87,71,69,74,86,94,91,90,74,88,84,44,78,53,84,67,69,70,78,53,82,38,60,58
324,201400,81,40,80,80,72,74,55,86,76,87,75,61,75,84,74,74,80,76,81,79,73,73,66,82,44,68,77,80,67,76,47,74,66
329,199354,81,40,80,80,74,83,68,77,78,81,83,78,70,82,80,81,74,81,75,83,65,73,73,82,67,38,80,76,79,76,24,24,26
330,199189,81,40,60,100,65,69,65,84,61,85,68,70,78,87,77,77,70,77,58,80,63,74,82,79,73,45,71,81,65,80,56,58,52
339,193738,81,40,80,80,79,75,67,79,69,86,78,78,79,83,77,73,87,79,77,78,74,79,63,81,75,66,73,79,80,72,49,54,52
359,183900,81,60,80,100,79,66,57,82,60,86,72,64,69,87,84,78,80,80,79,73,64,75,54,75,51,36,78,84,90,81,24,31,22
368,177326,81,60,80,60,79,74,50,81,76,83,82,77,77,82,81,79,87,77,93,74,60,73,34,77,52,34,76,77,68,64,21,26,34
371,172175,81,40,80,80,81,77,64,80,76,84,77,76,77,85,82,84,82,76,73,77,73,76,62,76,58,35,80,67,78,74,40,52,51
413,206467,80,40,60,60,76,81,73,76,81,77,78,74,70,77,80,83,78,73,78,83,74,82,79,80,59,37,80,77,65,75,40,38,30
415,206273,80,40,80,80,74,73,55,80,69,82,75,70,72,82,85,90,83,77,78,75,59,73,66,73,70,63,76,77,60,76,38,45,42
429,200610,80,40,60,60,78,80,67,81,76,79,79,76,67,81,78,77,73,81,84,85,77,88,82,81,75,44,80,81,72,80,17,50,33
445,193130,80,60,60,80,76,80,63,77,82,81,80,68,59,79,84,83,77,80,76,86,72,80,66,83,66,44,80,76,83,75,23,40,42
450,192492,80,40,80,80,78,75,69,77,61,85,81,79,68,83,82,78,85,80,66,64,69,60,42,80,54,31,75,77,75,75,18,37,25
451,192086,80,40,60,60,68,80,74,75,71,81,74,69,66,80,85,84,84,77,75,77,74,86,66,73,67,35,84,71,67,82,43,42,44
455,190813,80,60,100,40,70,75,51,74,77,84,80,63,57,86,86,87,85,72,82,74,60,70,54,74,54,36,76,73,72,74,25,30,25
457,190264,80,60,80,60,78,75,53,80,69,84,80,75,72,85,80,79,85,78,86,62,36,77,53,75,48,26,80,78,77,78,35,36,32
474,178416,80,40,80,80,82,75,63,79,85,83,71,68,63,81,87,90,75,80,81,80,73,76,76,75,53,23,71,77,67,76,22,39,32
475,178311,80,60,60,80,72,81,60,76,76,83,80,78,58,85,86,84,81,78,80,80,50,74,60,78,60,24,85,78,78,78,18,20,26
481,176376,80,40,100,80,68,81,34,76,77,85,82,59,71,85,79,76,87,82,81,81,32,86,70,80,80,55,83,73,79,83,55,62,24
488,173221,80,60,60,80,85,74,55,77,75,82,74,71,70,84,77,78,74,78,76,87,35,86,70,85,66,59,79,74,83,73,54,58,50
525,230142,79,20,60,60,81,75,44,79,64,81,63,55,73,82,71,75,72,81,69,73,58,67,59,77,40,29,80,78,47,69,35,32,30
536,215259,79,20,80,100,81,75,46,75,71,82,81,78,71,77,90,82,78,69,68,71,57,80,58,74,44,33,75,77,60,71,46,41,55
544,212150,79,40,80,80,74,68,37,81,60,84,74,66,72,82,79,67,91,78,90,45,59,78,37,61,61,41,74,81,60,78,32,36,27
546,211381,79,40,100,80,70,72,35,76,70,87,71,69,66,86,83,81,90,70,85,71,33,67,31,69,47,19,76,77,69,69,44,40,32
550,210514,79,40,60,60,80,59,64,78,55,82,81,69,73,79,93,91,78,78,74,80,73,81,66,66,69,69,80,66,46,69,74,78,76
554,207948,79,40,80,20,68,68,59,73,75,85,76,73,69,86,85,90,86,80,72,73,75,71,66,67,62,43,76,73,66,75,30,34,31
561,205525,79,40,80,80,77,71,59,76,68,81,73,69,68,84,94,84,92,80,96,73,61,68,34,65,41,42,76,77,57,71,39,39,25
572,202556,79,60,80,40,67,72,55,73,69,84,85,88,63,80,89,87,82,79,83,88,74,78,82,80,62,31,75,73,70,76,24,31,20
576,201533,79,40,80,80,77,72,43,75,74,84,77,73,67,83,88,90,85,76,75,79,49,72,74,76,75,28,75,71,70,63,22,25,15
584,200641,79,40,80,80,78,76,49,75,67,83,83,80,74,81,86,86,81,76,78,77,66,66,58,78,48,37,75,73,75,74,21,28,27
592,199561,79,60,80,60,77,79,45,76,65,78,82,80,67,80,74,70,83,84,81,74,63,72,62,81,73,58,82,79,74,82,30,39,25
607,190544,79,40,80,80,72,72,48,78,74,87,80,83,71,86,82,79,81,75,79,76,63,69,65,78,44,32,75,78,75,75,23,35,35
608,190286,79,40,60,60,74,75,38,86,63,80,81,78,73,82,65,62,70,63,69,61,30,39,56,76,55,46,72,83,66,69,14,23,16
612,189575,79,40,80,60,74,73,43,75,63,84,78,69,65,83,85,78,87,81,94,61,73,50,44,72,66,45,80,74,61,77,33,55,34
627,184881,79,40,80,60,78,68,60,73,68,84,57,68,67,82,83,88,86,78,76,79,71,72,58,71,53,31,77,75,62,63,25,32,31
630,183899,79,40,80,40,79,76,71,78,72,81,81,58,70,80,88,83,85,75,91,63,76,63,50,70,55,51,80,77,59,68,36,35,38
657,170733,79,60,60,60,75,72,63,71,70,83,69,43,67,78,91,92,88,75,76,69,65,90,55,61,51,39,80,74,63,71,13,29,15
