-1,name,club_logo,flag,photo,acceleration,sprint_speed,positioning,finishing,shot_power,long_shots,volleys,penalties,vision,crossing,free_kick_accuracy,short_passing,long_passing,curve,agility,balance,reactions,ball_control,dribbling,composure,interceptions,heading_accuracy,marking,standing_tackle,sliding_tackle,jumping,stamina,strength,aggression,position
0,Cristiano Ronaldo,https://cdn.sofifa.org/18/teams/243.png,https://cdn.sofifa.org/flags/38@3x.png,https://cdn.sofifa.org/18/players/20801.png,89,91,95,94,94,92,88,85,85,85,76,83,77,81,89,63,96,93,91,95,29,88,22,31,23,95,92,80,63,win
1,L. Messi,https://cdn.sofifa.org/18/teams/241.png,https://cdn.sofifa.org/flags/52@3x.png,https://cdn.sofifa.org/18/players/158023.png,92,87,93,95,85,88,85,78,90,77,90,88,87,89,90,95,95,95,97,96,22,71,13,28,26,68,73,59,48,st
2,L. Suarez,https://cdn.sofifa.org/18/teams/241.png,https://cdn.sofifa.org/flags/60@3x.png,https://cdn.sofifa.org/18/players/176580.png,88,77,92,94,87,86,88,85,84,77,84,83,64,86,86,60,93,91,86,83,41,77,30,45,38,69,89,80,78,st
3,Neymar,https://cdn.sofifa.org/18/teams/73.png,https://cdn.sofifa.org/flags/54@3x.png,https://cdn.sofifa.org/18/players/190871.png,94,90,90,89,80,77,83,81,80,75,84,81,75,81,96,82,88,95,96,92,36,62,21,24,33,61,78,53,56,win
4,R. Lewandowski,https://cdn.sofifa.org/18/teams/21.png,https://cdn.sofifa.org/flags/37@3x.png,https://cdn.sofifa.org/18/players/188545.png,79,83,91,91,88,83,87,84,78,62,84,83,65,77,78,80,91,89,85,87,39,85,25,42,19,84,79,84,80,st
5,G. Higuain,https://cdn.sofifa.org/18/teams/45.png,https://cdn.sofifa.org/flags/52@3x.png,https://cdn.sofifa.org/18/players/167664.png,78,80,92,91,88,82,88,70,70,68,62,75,59,74,75,69,88,85,84,86,20,86,12,22,18,79,72,85,50,st
6,T. Kroos,https://cdn.sofifa.org/18/teams/243.png,https://cdn.sofifa.org/flags/21@3x.png,https://cdn.sofifa.org/18/players/182521.png,60,52,79,76,87,90,82,73,88,85,84,90,93,85,71,69,86,89,79,85,85,54,63,82,69,32,77,74,60,mid
7,E. Hazard,https://cdn.sofifa.org/18/teams/5.png,https://cdn.sofifa.org/flags/7@3x.png,https://cdn.sofifa.org/18/players/183277.png,93,87,85,83,79,82,79,86,86,80,79,86,81,82,93,91,85,92,93,87,41,57,25,27,22,59,79,65,54,win
8,Sergio Ramos,https://cdn.sofifa.org/18/teams/243.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/155862.png,75,77,52,60,79,55,66,68,63,66,67,78,72,73,79,60,85,84,61,80,88,91,86,89,91,93,84,81,84,cb
9,L. Modric,https://cdn.sofifa.org/18/teams/243.png,https://cdn.sofifa.org/flags/10@3x.png,https://cdn.sofifa.org/18/players/177003.png,75,71,79,71,73,82,74,80,90,78,77,92,83,79,93,94,88,92,86,84,76,55,66,80,73,67,82,58,62,mid
10,S. Aguero,https://cdn.sofifa.org/18/teams/10.png,https://cdn.sofifa.org/flags/52@3x.png,https://cdn.sofifa.org/18/players/153079.png,90,84,91,90,88,83,85,83,83,70,72,79,63,82,86,91,89,89,89,90,24,68,13,20,12,80,74,74,63,st
11,G. Bale,https://cdn.sofifa.org/18/teams/243.png,https://cdn.sofifa.org/flags/50@3x.png,https://cdn.sofifa.org/18/players/173731.png,93,95,86,87,91,90,76,76,79,87,85,85,80,86,77,65,87,86,87,85,59,86,51,55,52,85,76,80,65,win
12,K. De Bruyne,https://cdn.sofifa.org/18/teams/10.png,https://cdn.sofifa.org/flags/7@3x.png,https://cdn.sofifa.org/18/players/192985.png,76,75,84,83,85,86,82,77,90,90,83,90,84,83,80,75,88,87,85,84,56,53,30,51,40,65,87,73,68,mid
13,G. Chiellini,https://cdn.sofifa.org/18/teams/45.png,https://cdn.sofifa.org/flags/27@3x.png,https://cdn.sofifa.org/18/players/138956.png,68,78,28,33,78,49,45,50,50,58,31,59,59,60,59,64,82,57,58,82,88,84,92,92,90,89,68,91,92,cb
14,A. Sanchez,https://cdn.sofifa.org/18/teams/1.png,https://cdn.sofifa.org/flags/55@3x.png,https://cdn.sofifa.org/18/players/184941.png,88,84,86,85,84,82,83,77,83,80,78,81,73,78,90,87,87,87,90,86,42,70,30,39,35,85,85,72,80,win
15,P. Dybala,https://cdn.sofifa.org/18/teams/45.png,https://cdn.sofifa.org/flags/52@3x.png,https://cdn.sofifa.org/18/players/211110.png,88,84,84,85,82,88,88,86,84,80,84,83,71,88,91,85,84,93,92,84,24,68,14,20,20,75,83,65,48,st
